institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENH,6320,80.5399495,G,H,OPEN,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCH,19682,31.6629561,G,H,SC,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTBH,13517,56.5488095,G,H,NTB,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCH,7837,76.9216256,G,H,OBC,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTDH,7531,76.9216256,G,H,NTD,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCH,7461,76.9216256,G,H,SEBC,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENO,11696,63.1574978,G,O,OPEN,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCO,21071,25.4779232,G,O,SC,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCO,14143,53.942159,G,O,OBC,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSTO,17146,41.4550394,G,O,ST,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCO,16451,44.5345198,G,O,SEBC,MCA,2025,3
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,TFWS,7560,76.9216256,T,S,TFWS,MCA,2025,3
'1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",'0110224110,Master in Computer Application,Un-Aided-Linguistic Minority - Hindi,Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management,GOPENH,6281,80.5399495,G,H,OPEN,MCA,2025,3
'1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",'0110224110,Master in Computer Application,Un-Aided-Linguistic Minority - Hindi,Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management,GOPENO,22254,19.1539942,G,O,OPEN,MCA,2025,3
'1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",'0110224110,Master in Computer Application,Un-Aided-Linguistic Minority - Hindi,Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management,MI-MH,9265,71.1549338,M,H,MI,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GOPENH,6065,82.8308366,G,H,OPEN,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GNTCH,20412,27.2744425,G,H,NTC,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GOBCH,8676,73.5368477,G,H,OBC,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GSEBCH,9149,71.1549338,G,H,SEBC,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,PWDOPENH,8618,73.5368477,P,H,PWD,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GOPENO,13684,56.5488095,G,O,OPEN,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GOBCO,23559,12.4750009,G,O,OBC,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GSTO,22774,16.9789978,G,O,ST,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GNTAO,22820,15.5994113,G,O,NTA,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GSEBCO,24055,9.7430286,G,O,SEBC,MCA,2025,3
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GOBCO,9204,71.1549338,G,O,OBC,MCA,2025,3
'1107,"P. R. Pote Patil College of Engineering & Management, Amravati",'0110724110,Master in Computer Application,Un-Aided-Autonomous,P. R. Pote Patil College of Engineering & Management,GSTH,470,98.2089665,G,H,ST,MCA,2025,3
'1107,"P. R. Pote Patil College of Engineering & Management, Amravati",'0110724110,Master in Computer Application,Un-Aided-Autonomous,P. R. Pote Patil College of Engineering & Management,GNTDH,2130,93.405226,G,H,NTD,MCA,2025,3
