institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENH,6026,82.8308366,G,H,OPEN,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCH,19085,34.5198145,G,H,SC,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTBH,13209,58.7911466,G,H,NTB,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCH,6764,79.9969812,G,H,OBC,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSTH,7095,77.8251197,G,H,ST,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTDH,7837,76.9216256,G,H,NTD,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCH,6882,79.9969812,G,H,SEBC,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCH,15232,49.3533426,G,H,SEBC,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENO,4909,85.2118788,G,O,OPEN,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCO,6460,80.5399495,G,O,SC,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCO,5128,85.2118788,G,O,OBC,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCO,14419,53.942159,G,O,SEBC,MCA,2025,2
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSTO,6726,79.9969812,G,O,ST,MCA,2025,2
