institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENH,4742,85.3851665,G,H,OPEN,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCH,14153,53.942159,G,H,SC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSTH,9741,69.7143504,G,H,ST,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTAH,7408,77.8251197,G,H,NTA,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTBH,10287,67.3579428,G,H,NTB,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTCH,7243,77.8251197,G,H,NTC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCH,6039,82.8308366,G,H,OBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCH,19050,34.5198145,G,H,SEBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,PWDOPENH,24739,5.5960152,P,H,PWD,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSTH,22839,15.5994113,G,H,ST,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTDH,9621,69.7143504,G,H,NTD,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCH,14157,53.942159,G,H,SEBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENO,3659,89.1331398,G,O,OPEN,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCO,3829,89.1331398,G,O,SC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSTO,10980,65.8578922,G,O,ST,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCO,5561,82.9644433,G,O,OBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCO,6698,79.9969812,G,O,SEBC,MCA,2025,4
