institute_code,institute_name,branch_code,course_name,status,university,category,rank,percentile,gender,quota,category_1,branch,year,cap_round
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOPENH,11971,76.7274979,G,H,GOPEN,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GSCH,15662,69.3798114,G,H,GSC,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GSTH,32082,37.4663878,G,H,GST,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GNTAH,24566,52.1655193,G,H,GNTA,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GNTBH,20887,60.1322079,G,H,GNTB,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GNTDH,19764,61.490921,G,H,GNTD,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOBCH,12592,75.5384943,G,H,GOBC,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,PWDOPENH,26310,48.7342003,G,H,PWDOPEN,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOPENO,7403,85.2438713,G,O,GOPEN,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GSCO,10055,80.4152973,G,O,GSC,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GNTAO,9303,81.7928243,G,O,GNTA,MBA,2023,2
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOBCO,8338,83.7038318,G,O,GOBC,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOPENH,14329,72.4781403,G,H,GOPEN,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSCH,20364,61.0060831,G,H,GSC,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSTH,27846,46.4953437,G,H,GST,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOBCH,15393,70.7798028,G,H,GOBC,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOPENO,23855,54.0307102,G,O,GOPEN,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSCO,30272,41.1210635,G,O,GSC,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOBCO,23992,54.0091688,G,O,GOBC,MBA,2023,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GNTBO,21449,58.2611294,G,O,GNTB,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOPENH,19628,61.7680012,G,H,GOPEN,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSCH,23452,54.5712578,G,H,GSC,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSTH,46596,0.2133012,G,H,GST,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GNTAH,26034,49.0758513,G,H,GNTA,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GNTBH,21935,58.2559283,G,H,GNTB,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOBCH,23421,55.1487998,G,H,GOBC,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOPENO,28656,44.5174783,G,O,GOPEN,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSTO,37420,25.2539588,G,O,GST,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOBCO,44,42.1459516,G,O,GOBC,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSCO,25760,50.3390943,G,O,GSC,MBA,2023,2
1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",110210110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GNTDO,36328,27.723746,G,O,GNTD,MBA,2023,2
1106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",110610110,M. B. A.,Un-Aided-Linguistic Minority - Marwadi,Sant Gadge Baba Amravati University,GOPENH,24426,52.5582611,G,H,GOPEN,MBA,2023,2
1106,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",110610110,M. B. A.,Un-Aided-Linguistic Minority - Marwadi,Sant Gadge Baba Amravati University,GOPENO,42655,12.1183289,G,O,GOPEN,MBA,2023,2
1107,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",110710110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOPENH,10379,79.9256912,G,H,GOPEN,MBA,2023,2
