UDISE,College Name,College Type,Stream,Status,Medium,Reservation,Caste,Marks,Percentage,Cap Round No,City Name
27230100337,"SHARADASHRAM VIDYAMANDIR SECONDARY SCHOOL AND JR. COLLEGE OF COMMERCE, DADAR 400 028",Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,223.0,44.6,CAP-2,Mumbai
27230100345,DR.ANTONIO DA SILVA HIGH SCHOOL,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,402.0,80.4,CAP-2,Mumbai
27230100348,MAHARASHTRA HIGH SCHOOL NO.2,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,236.0,47.199999999999996,CAP-2,Mumbai
27230100394,"SNEHALATA RANE  HIGH SCHOOL AND JR. COLLEGE, DADAR ,MUMBAI",Co-Ed,Science,Self Financed,English,Women (30%),SC,459.0,91.8,CAP-2,Mumbai
27230100394,"SNEHALATA RANE  HIGH SCHOOL AND JR. COLLEGE, DADAR ,MUMBAI",Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,431.0,86.2,CAP-2,Mumbai
27230100540,KISHINCHAND CHELLARAM COLLEGE (K. C. COLLEGE),Co-Ed,Arts,Aided,English,Divyang (4%),SC,394.0,78.8,CAP-2,Mumbai
27230100540,KISHINCHAND CHELLARAM COLLEGE (K. C. COLLEGE),Co-Ed,Commerce,Un-Aided,English,Divyang (4%),SC,340.0,68.0,CAP-2,Mumbai
27230100540,KISHINCHAND CHELLARAM COLLEGE (K. C. COLLEGE),Co-Ed,Commerce,Aided,English,Divyang (4%),SC,387.0,77.4,CAP-2,Mumbai
27230100541,H. R. COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,316.0,63.2,CAP-2,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Arts,Aided,Marathi,Divyang (4%),SC,216.0,43.2,CAP-2,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Arts,Aided,English,Remaining seats (Pure),SC,260.0,52.0,CAP-2,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Arts,Aided,English,Divyang (4%),SC,343.0,68.60000000000001,CAP-2,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Commerce,Aided,English,Remaining seats (Pure),SC,243.0,48.6,CAP-2,Mumbai
27230100544,SIDDHARTH COLLEGE OF COMM. & ECO.,Co-Ed,Commerce,Aided,English,Women (30%),SC,198.0,39.6,CAP-2,Mumbai
27230100544,SIDDHARTH COLLEGE OF COMM. & ECO.,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,181.0,36.199999999999996,CAP-2,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Arts,Aided,English,Women (30%),SC,200.0,40.0,CAP-2,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,72.0,14.399999999999999,CAP-2,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Arts,Aided,English,Divyang (4%),SC,294.0,58.8,CAP-2,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Commerce,Aided,English,Women (30%),SC,191.0,38.2,CAP-2,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,197.0,39.4,CAP-2,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Science,Aided,English,Women (30%),SC,314.0,62.8,CAP-2,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,294.0,58.8,CAP-2,Mumbai
27230100546,ST.XAVIER'S COLLEGE FORT,Co-Ed,Arts,Aided,English,Divyang (4%),SC,399.0,79.80000000000001,CAP-2,Mumbai
27230100546,ST.XAVIER'S COLLEGE FORT,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,417.0,83.39999999999999,CAP-2,Mumbai
27230100546,ST.XAVIER'S COLLEGE FORT,Co-Ed,Science,Aided,English,Divyang (4%),SC,422.0,84.39999999999999,CAP-2,Mumbai
27230100547,SYDENHAM COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Government / Local Body,English,Women (30%),SC,392.0,78.4,CAP-2,Mumbai
27230100547,SYDENHAM COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Government / Local Body,English,Remaining seats (Pure),SC,385.0,77.0,CAP-2,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Arts,Government / Local Body,English,Women (30%),SC,300.0,60.0,CAP-2,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Arts,Government / Local Body,English,Remaining seats (Pure),SC,206.0,41.199999999999996,CAP-2,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Commerce,Government / Local Body,English,Women (30%),SC,361.0,72.2,CAP-2,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Commerce,Government / Local Body,English,Remaining seats (Pure),SC,368.0,73.6,CAP-2,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Science,Government / Local Body,English,Women (30%),SC,384.0,76.8,CAP-2,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Science,Government / Local Body,English,Remaining seats (Pure),SC,379.0,75.8,CAP-2,Mumbai
27230100549,JAI HIND COLLEGE,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,398.0,79.60000000000001,CAP-2,Mumbai
27230100549,JAI HIND COLLEGE,Co-Ed,Science,Aided,English,Divyang (4%),SC,417.0,83.39999999999999,CAP-2,Mumbai
27230100713,THE B. J. P. C. INSTITUTION & JUNIOR COLLEGE,Co-Ed,Science,Self Financed,English,Divyang (4%),SC,283.0,56.599999999999994,CAP-2,Mumbai
27230100930,BHAUSAHEB HIRAY VIDYALAYA,Co-Ed,Commerce,Aided,English,Women (30%),SC,195.0,39.0,CAP-2,Mumbai
27230100930,BHAUSAHEB HIRAY VIDYALAYA,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,216.0,43.2,CAP-2,Mumbai
27230100961,WILSON COLLEGE,Co-Ed,Arts,Aided,English,Divyang (4%),SC,341.0,68.2,CAP-2,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Arts,Aided,English,Women (30%),SC,254.0,50.8,CAP-2,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,236.0,47.199999999999996,CAP-2,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Commerce,Aided,English,Women (30%),SC,342.0,68.4,CAP-2,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,334.0,66.8,CAP-2,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Science,Aided,English,Women (30%),SC,332.0,66.4,CAP-2,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,305.0,61.0,CAP-2,Mumbai
27230100964,K. P. B. HINDUJA COLLEGE OF COMMERCE,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,368.0,73.6,CAP-2,Mumbai
27230100966,ANJUMAN-I-ISLAM'S AKBAR PEERBHOY COLLEGE OF COMMERCE & ECONOMICS.,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,384.0,76.8,CAP-2,Mumbai
27230100968,SOPHIA COLLEGE,Co-Ed,Arts,Aided,English,Divyang (4%),SC,341.0,68.2,CAP-2,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Science,Un-Aided,English,Women (30%),SC,390.0,78.0,CAP-2,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Science,Un-Aided,English,Remaining seats (Pure),SC,277.0,55.400000000000006,CAP-2,Mumbai
