Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
46,8715 (51.5177219),4137,Sir Shantilal Badjate Charitable Trust's S. B. Jain,BCA,MAH-CET,AI,AI to AI,8715.0,51.5177219
47,8776 (51.5177219),3709,SAHYOG COLLEGE OF ARTS COMMERCE AND SCIENCE,BCA,MAH-CET,AI,AI to AI,8776.0,51.5177219
48,8787 (51.5177219),16252,PROGRESSIVE EDUCATION SOCIETY'S  MODERN,BCA,MAH-CET,AI,AI to AI,8787.0,51.5177219
49,8921 (50.1248320),16334,POONA COLLEGE OF ARTS SCIENCE AND COMMERCE,BCA,MAH-CET,AI,AI to AI,8921.0,50.124832
50,9103 (49.2408473),16150,SANGAMESHWAR COLLEGE SOLAPUR,BCA,MAH-CET,AI,AI to AI,9103.0,49.2408473
51,9306 (48.6398061),1111,"P.G. Department  of Computer Science & Technology,",BCA,MAH-CET,AI,AI to AI,9306.0,48.6398061
52,9398 (48.6398061),2734,SWAMI VIVEKANAND MAHAVIDYALAYA UDGIR,BCA,MAH-CET,AI,AI to AI,9398.0,48.6398061
53,9423 (48.6398061),4739,"CITY PREMIER COLLEGE, NAGPUR",BCA,MAH-CET,AI,AI to AI,9423.0,48.6398061
54,9442 (48.6398061),4745,SANTAJI MAHAVIDYALAYA NAGPUR,BCA,MAH-CET,AI,AI to AI,9442.0,48.6398061
55,9695 (46.7552345),6283,Annasaheb Dange College of Engineering and,BCA,MAH-CET,AI,AI to AI,9695.0,46.7552345
56,9811 (45.9033477),5150,"R.C. Patel Educational Trust, Institute of",MASTER OF COMPUTER  APPLICATIONS,MAH-CET,AI,AI to AI,9811.0,45.9033477
57,9862 (45.9033477),16197,THE POONA DIOCESAN EDUCATIONAL SOCIETY'S,BCA,MAH-CET,AI,AI to AI,9862.0,45.9033477
58,9888 (45.8103605),16193,BHARATIYA JAIN SANGHATANAS ARTS SCIENCE  AND,BCA,MAH-CET,AI,AI to AI,9888.0,45.8103605
59,10067 (45.8103605),16329,SWARAJ COLLEGE OF ARTS COMMERCE AND SCIENCE,BCA,MAH-CET,AI,AI to AI,10067.0,45.8103605
60,10105 (45.4132258),6622,ISBM College Of Engineering Pune,Bachelor of Computer  Application (BCA),MAH-CET,AI,AI to AI,10105.0,45.4132258
61,10248 (44.1043223),6213,Chh. Shahu Institute Of Business  Edu  And Res,BCA,MAH-CET,AI,AI to AI,10248.0,44.1043223
62,10455 (43.1483652),6129,Jayawant Shikshan Prasarak Mandal's Jayawant,BCA,MAH-CET,AI,AI to AI,10455.0,43.1483652
63,10486 (43.1483652),6179,"Indira College of Engineering & Management, Pune",MASTER OF COMPUTER  APPLICATIONS,MAH-CET,AI,AI to AI,10486.0,43.1483652
64,10618 (42.9142684),2736,MGMS COLLEGE OF COMPUTER SCIENCE AND IT,BCA,MAH-CET,AI,AI to AI,10618.0,42.9142684
65,10676 (42.9142684),6152,Zeal Education Society's Zeal Institute of Business,MASTER OF COMPUTER  APPLICATIONS,MAH-CET,AI,AI to AI,10676.0,42.9142684
66,10695 (42.9142684),16264,HARIBHAI V DESAI COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,10695.0,42.9142684
67,10878 (41.5817816),16135,DEVCHAND COLLEGE ARJUNNAGAR,BCA,MAH-CET,AI,AI to AI,10878.0,41.5817816
68,11233 (40.1589162),3575,DR BHANUBEN MAHENDRA NANAVATI COLLEGE OF,BCA,MAH-CET,AI,AI to AI,11233.0,40.1589162
69,11358 (39.4728870),5640,K K WAGH ARTS COMMERCE SCIENCE AND,BCA,MAH-CET,AI,AI to AI,11358.0,39.472887
70,11386 (39.4728870),5634,SNJB K K H A ARTS SMGL COMMERCE AND SPHJ,BCA,MAH-CET,AI,AI to AI,11386.0,39.472887
71,11429 (39.4728870),6737,Prin. K.P. Mangalvedhekar Institute Of Management,BCA,MAH-CET,AI,AI to AI,11429.0,39.472887
72,11439 (39.4728870),4147,"K.D.K. College of Engineering, Nagpur",BCA,MAH-CET,AI,AI to AI,11439.0,39.472887
73,11559 (39.1357945),2776,Deogiri Instiute of Technology and Management,BCA,MAH-CET,AI,AI to AI,11559.0,39.1357945
74,11576 (39.1357945),16303,SUBHARDRA EDUCATIONAL SOCIETY SNBP COLLEGE,BCA,MAH-CET,AI,AI to AI,11576.0,39.1357945
75,11849 (38.5762755),6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai",BCA,MAH-CET,AI,AI to AI,11849.0,38.5762755
76,11930 (37.2020320),1318,SMT. KESHARBAI LAHOTI MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,11930.0,37.202032
