Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
190,19703 (4.4229022),16207,SADGURU GADGE MAHARAJ COLLEGE KARAD,BCA,MAH-CET,AI,AI to AI,19703.0,4.4229022
191,19816 (4.2365618),5554,ZULAL BHILAJIRAO PATIL COLLEGE,BCA,MAH-CET,AI,AI to AI,19816.0,4.2365618
192,19854 (3.9706741),5102,"Godavari Institute of Management & Research,",BCA,MAH-CET,AI,AI to AI,19854.0,3.9706741
193,19862 (3.8819063),5550,BHUSAWAL ARTS SCIENCE AND P O NAHATA,BCA,MAH-CET,AI,AI to AI,19862.0,3.8819063
194,19903 (3.2777946),5579,THE KANDESH EDUCATION SOCIETYS PRATAP,BCA,MAH-CET,AI,AI to AI,19903.0,3.2777946
195,19951 (3.2777946),6248,KFS - Krishna Institute of Computer Application &,BCA,MAH-CET,AI,AI to AI,19951.0,3.2777946
196,19966 (3.1774213),16157,C B KHEDGIS BASWESHWAR SCIENCE RAJA VIJAYSINH,BCA,MAH-CET,AI,AI to AI,19966.0,3.1774213
197,19986 (3.1774213),6127,"Shrinath Shikshan Prasarak Mandal, R.M. Dhariwal",BCA,MAH-CET,AI,AI to AI,19986.0,3.1774213
198,20027 (3.1012781),5592,SYSTEL TECHNICAL EDUCATION SOCIETYS SYSTEL,BCA,MAH-CET,AI,AI to AI,20027.0,3.1012781
199,20029 (3.1012781),5101,Khandesh College Education Society's Institute of,MASTER OF COMPUTER  APPLICATIONS,MAH-CET,AI,AI to AI,20029.0,3.1012781
200,20032 (3.1012781),2674,MAHARASHTRA MAHAVIDYALAYA NILANGA,BCA,MAH-CET,AI,AI to AI,20032.0,3.1012781
201,20061 (2.9785284),2670,TERNA MAHAVIDYALAYA ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,20061.0,2.9785284
202,20062 (2.9785284),16328,RAJGAD DNYANPEETH'S ANANTRAO THOPTE,BCA,MAH-CET,AI,AI to AI,20062.0,2.9785284
203,20068 (2.6246719),16164,TULJARAM CHATURCHAD COLLEGE OF ARTS SCIENCE,BCA,MAH-CET,AI,AI to AI,20068.0,2.6246719
204,20079 (2.6246719),16152,D R MANE MAHAVIDYALAYA KAGAL,BCA,MAH-CET,AI,AI to AI,20079.0,2.6246719
205,20098 (2.5856454),16246,SAMARTH COLLEGE OF COMPUTER SCIENCE,BCA,MAH-CET,AI,AI to AI,20098.0,2.5856454
206,20124 (2.3692910),5608,INSTITUTE OF MANAGEMENT AN RESEARCH JAMNER,BCA,MAH-CET,AI,AI to AI,20124.0,2.369291
207,20178 (2.3386852),2675,MAHARASHTRA UDAYAGIRI MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,20178.0,2.3386852
208,20232 (1.8887586),16238,MAHARSHI KARVE MAHILA MAHAVIDYALAY SATARA,BCA,MAH-CET,AI,AI to AI,20232.0,1.8887586
209,20242 (1.8244671),16206,SHRIRAM INSTITUTE OF INFORMATION TECHNOLOGY,BCA,MAH-CET,AI,AI to AI,20242.0,1.8244671
210,20296 (1.6349835),16247,MAHARSHI KARVE MAHILA MAHAVIDYALAY WAI,BCA,MAH-CET,AI,AI to AI,20296.0,1.6349835
211,20307 (1.6237504),6757,"Yashoda Technical Campus, Wadhe, Satara.",BCA,MAH-CET,AI,AI to AI,20307.0,1.6237504
212,20323 (1.6237504),5559,VIDYABHARTI SHAIKSHANIK MANDAL AMARAVATI'S,BCA,MAH-CET,AI,AI to AI,20323.0,1.6237504
213,20331 (1.6169154),5017,SHRI KAKASAHEB HEERALAL MAGANLAL CHAUDHARI,BCA,MAH-CET,AI,AI to AI,20331.0,1.6169154
214,20337 (1.3612088),6992,Pune Cambridge Institute of Management and,BCA,MAH-CET,AI,AI to AI,20337.0,1.3612088
215,20342 (1.2547212),5568,KVN NAIK ARTS COMMERCE AND SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,20342.0,1.2547212
216,20352 (1.1999510),2667,DAYANAND COLLEGE OF COMMERCE LATUR,BCA,MAH-CET,AI,AI to AI,20352.0,1.199951
217,20371 (1.1848651),5546,DHANAJI NANA MAHAVIDYALYA,BCA,MAH-CET,AI,AI to AI,20371.0,1.1848651
218,20377 (1.1693426),5599,MKD ARTS COMMERCE SCIENCE AND FASHION,BCA,MAH-CET,AI,AI to AI,20377.0,1.1693426
219,20388 (1.1693426),3637,REGAL COLLEGE OF TECHNOLOGY,BCA,MAH-CET,AI,AI to AI,20388.0,1.1693426
220,20413 (1.1418932),16214,DR PATANGRAO KADAM MAHAVIDYALYA,BCA,MAH-CET,AI,AI to AI,20413.0,1.1418932
221,20417 (0.8857627),2693,JEEVAN REKHA PRATISTHAN'S MAHILA BCA,BCA,MAH-CET,AI,AI to AI,20417.0,0.8857627
222,20419 (0.8081303),2686,VAIDYANATH COLLEGE,BCA,MAH-CET,AI,AI to AI,20419.0,0.8081303
223,20421 (0.8081303),4758,"Taywade College,  Mahadula, Koradi, Dist. Nagpur",BCA,MAH-CET,AI,AI to AI,20421.0,0.8081303
224,20425 (0.8081303),16133,DR GHALI COLLEGE GADHINGLAJ,BCA,MAH-CET,AI,AI to AI,20425.0,0.8081303
225,20438 (0.7634050),16288,SMT. KASHIBAI NAVALE COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,20438.0,0.763405
226,20444 (0.7634050),4017,KAVIKULAGURU KALIDAS SANSKRIT UNIVERSITY,BCA,MAH-CET,AI,AI to AI,20444.0,0.763405
227,20450 (0.7634050),6210,Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil,BCA,MAH-CET,AI,AI to AI,20450.0,0.763405
228,20451 (0.7634050),2699,ADVANCED COMPUTER COLLEGE,BCA,MAH-CET,AI,AI to AI,20451.0,0.763405
229,20457 (0.7593611),2692,COLLEGE OF COMPUTER SCIENCE AND,BCA,MAH-CET,AI,AI to AI,20457.0,0.7593611
230,20470 (0.5999755),5569,SHRI SHIVAJI VIDYA PRASARAK SANSTHA,BCA,MAH-CET,AI,AI to AI,20470.0,0.5999755
231,20478 (0.5057295),2718,MASTER DEENANATH MANGESHKAR,BCA,MAH-CET,AI,AI to AI,20478.0,0.5057295
232,20484 (0.4422902),1321,"Swami Vivekananda College Of Management, Science",BCA,MAH-CET,AI,AI to AI,20484.0,0.4422902
233,20485 (0.4422902),2739,TULSI COMPUTER SCIENCE AND INFORMATION,BCA,MAH-CET,AI,AI to AI,20485.0,0.4422902
234,20488 (0.3972906),2669,ASHTI TALUKA SHIKSHAN PRASARAK MANDALS,BCA,MAH-CET,AI,AI to AI,20488.0,0.3972906
235,20498 (0.3612097),2113,"G. S. Mandal's Maharashtra Institute of Technology,",BCA,MAH-CET,AI,AI to AI,20498.0,0.3612097
236,20506 (0.2816721),1322,SMT.MAHERBANU COLLEGE OF SCIENCE AND,BCA,MAH-CET,AI,AI to AI,20506.0,0.2816721
237,20528 (0.1285662),16131,HON SHRI ANNASAHEB DANGE ARTS COMMERCE,BCA,MAH-CET,AI,AI to AI,20528.0,0.1285662
238,20530 (0.1211754),6758,"Sahyadri Valley College of Engineering & Technology,",BCA,MAH-CET,AI,AI to AI,20530.0,0.1211754
239,20532 (0.1211754),16154,D P BHOSALE COLLEGE KOREGAON,BCA,MAH-CET,AI,AI to AI,20532.0,0.1211754
240,20538 (0.0969403),16256,JEEVAN PRABODHINI VITA'S SOU. SHOBHAKAKI,BCA,MAH-CET,AI,AI to AI,20538.0,0.0969403
241,20539 (0.0969403),5617,KAI. BAHUSAHEB HIRAY SAMARNIKA SAMITI TRUST'S,BCA,MAH-CET,AI,AI to AI,20539.0,0.0969403
242,20550 (0.0428554),16224,RAJE RAMRAO MAHAVIDYALAY JATH,BCA,MAH-CET,AI,AI to AI,20550.0,0.0428554
243,20551 (0.0363526),16153,MUDHOJI COLLEGE PHALTAN,BCA,MAH-CET,AI,AI to AI,20551.0,0.0363526
244,20554 (0.0183666),2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS,BCA,MAH-CET,AI,AI to AI,20554.0,0.0183666
