Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
1,2904 (79.1760073),3651,KANDIVLI EDUCATION SOCIETY'S B K SHROFF,BCA,MAH-CET,AI,AI to AI,2904.0,79.1760073
2,2940 (79.1760073),3176,"Thakur College of Engineering and Technology,",BCA,MAH-CET,AI,AI to AI,2940.0,79.1760073
3,5003 (68.4701606),3651,KANDIVLI EDUCATION SOCIETY'S B K SHROFF,BCA,MAH-CET,MI,MI to AI,5003.0,68.4701606
4,5066 (67.8583014),16226,MODERN COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,5066.0,67.8583014
5,5233 (67.1666463),6143,JSPM's Jayawantrao Sawant Institute of Management,BCA,MAH-CET,AI,AI to AI,5233.0,67.1666463
6,5282 (66.1738867),16187,ABASAHEB GARWARE COLLEGE,BCA,MAH-CET,AI,AI to AI,5282.0,66.1738867
7,5812 (63.9139655),4147,"K.D.K. College of Engineering, Nagpur",BCA,MAH-CET,AI,AI to AI,5812.0,63.9139655
8,6361 (61.5517572),6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu",BCA,MAH-CET,AI,AI to AI,6361.0,61.5517572
9,7018 (59.0608547),5120,"MET's Institute of Management, Adgaon, Nashik",BCA,MAH-CET,AI,AI to AI,7018.0,59.0608547
10,7444 (56.8130869),16202,MES SENIOR COLLEGE,BCA,MAH-CET,AI,AI to AI,7444.0,56.8130869
11,7707 (56.0814349),5560,R C PATEL ARTS COMMERCE AND SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,7707.0,56.0814349
12,8036 (54.1472281),5572,NEW ARTS COMMERCE AND SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,8036.0,54.1472281
13,8199 (54.1472281),3576,GURU NANAK KHALSA COLLEGE OF ARTS SCIENCE,BCA,MAH-CET,AI,AI to AI,8199.0,54.1472281
14,8350 (51.8978817),16287,SINHGAD  COLLEGE OF SCIENCE,BCA,MAH-CET,AI,AI to AI,8350.0,51.8978817
15,8549 (51.8393564),16334,POONA COLLEGE OF ARTS SCIENCE AND COMMERCE,BCA,MAH-CET,AI,AI to AI,8549.0,51.8393564
16,8775 (51.5177219),6822,Pimpri Chinchwad Education Trust's Pimpri,BCA,MAH-CET,AI,AI to AI,8775.0,51.5177219
17,8916 (50.1248320),16193,BHARATIYA JAIN SANGHATANAS ARTS SCIENCE  AND,BCA,MAH-CET,AI,AI to AI,8916.0,50.124832
18,11233 (40.1589162),3628,REENA MEHTA COLLEGE OF ARTS SCIENCE,BCA,MAH-CET,AI,AI to AI,11233.0,40.1589162
19,11273 (39.8730034),6145,JSPM'S Jaywantrao Sawant College of,BCA,MAH-CET,AI,AI to AI,11273.0,39.8730034
20,11834 (38.5762755),16300,VISHWAKARMA COLLEGE OF ARTS COMMERCE AND,BCA,MAH-CET,AI,AI to AI,11834.0,38.5762755
21,12233 (36.2011512),3593,DTSS COLLEGE OF COMMERCE,BCA,MAH-CET,MI,MI to AI,12233.0,36.2011512
22,12287 (36.2011512),16233,MODERN COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,12287.0,36.2011512
23,13023 (33.1027305),1324,SHRI SHIVAJI SCIENCE COLLEGE AMRAVATI,BCA,MAH-CET,AI,AI to AI,13023.0,33.1027305
24,13438 (31.5748339),16194,SNDT ARTS AND COMMERCE COLLEGE FOR WOMEN,BCA,MAH-CET,AI,AI to AI,13438.0,31.5748339
25,13523 (31.3236449),3709,SAHYOG COLLEGE OF ARTS COMMERCE AND SCIENCE,BCA,MAH-CET,AI,AI to AI,13523.0,31.3236449
26,14145 (29.1636930),16222,MODERN COLLEGE OF COMMERCE AND COMPUTER,BCA,MAH-CET,AI,AI to AI,14145.0,29.163693
27,17335 (14.5107543),5331,"Sandip Foundation's, Sandip Institute of Engineering",BCA,MAH-CET,AI,AI to AI,17335.0,14.5107543
28,18249 (11.2242912),16150,SANGAMESHWAR COLLEGE SOLAPUR,BCA,MAH-CET,AI,AI to AI,18249.0,11.2242912
29,20177 (2.3386852),16145,KARMAVEER BHAURAO PATIL MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,20177.0,2.3386852
30,20352 (1.1999510),2667,DAYANAND COLLEGE OF COMMERCE LATUR,BCA,MAH-CET,AI,AI to AI,20352.0,1.199951
