Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
1,207 (99.3740809),617524110,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Master in Computer Application,AI-AI,AI,207.0,99.3740809
2,211 (99.3736085),321524110,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Master in Computer Application,AI-AI,AI,211.0,99.3736085
3,225 (99.2830459),603324110,"Department of Computer Science, Savitribai Phule Pune University, Pune",Master in Computer Application,AI-AI,AI,225.0,99.2830459
4,498 (98.5181554),318524210,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Master of Computer Applications,AI-AI,AI,498.0,98.5181554
5,718 (98.0566771),310924110,"S.I.E.S. College of Management Studies, Mumbai",Master in Computer Application,AI-AI,AI,718.0,98.0566771
6,1031 (97.0718086),316724110,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai",Master in Computer Application,AI-AI,AI,1031.0,97.0718086
7,1362 (96.392589),614124110,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Master in Computer Application,AI-AI,AI,1362.0,96.392589
8,1365 (96.392589),317624210,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Master of Computer Applications,AI-AI,AI,1365.0,96.392589
9,1578 (95.5548847),617924110,"Indira College of Engineering & Management, Pune",Master in Computer Application,AI-AI,AI,1578.0,95.5548847
10,1589 (95.5548847),311724110,"Gurunanak Institute of Management Studies, Mumbai",Master in Computer Application,AI-AI,AI,1589.0,95.5548847
11,1655 (95.5548847),622824110,Dr. D. Y. Patil Pratishthan's D.Y.Patil Institute of,"Master of Computer Applications and Management, Akurdi, Pune Master in Computer Application",AI-AI,AI,1655.0,95.5548847
12,1767 (95.2942951),613924110,"Progressive Education Society's Modern College of Engineering, Pune",Master in Computer Application,AI-AI,AI,1767.0,95.2942951
13,1835 (95.2942951),623224110,"Maharashtra Education Society's Institute of Management and Career Courses (IMCC), Pune",Master in Computer Application,AI-AI,AI,1835.0,95.2942951
14,2001 (94.6454851),316824110,"Thakur Institute of Management Studies Career Development & Research, Kandivali (E), Mumbai",Master in Computer Application,AI-AI,AI,2001.0,94.6454851
15,2116 (94.4270578),303324110,"Dr. Babasaheb Ambedkar Technological University, Lonere",Master in Computer Application,AI-AI,AI,2116.0,94.4270578
16,2136 (94.4270578),612924110,"Jayawant Shikshan Prasarak Mandal's Jayawant Institute of Management Studies, Tathawade Pune-411033",Master in Computer Application,AI-AI,AI,2136.0,94.4270578
17,2200 (94.4270578),316224110,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",Master in Computer Application,AI-AI,AI,2200.0,94.4270578
18,2314 (93.5511867),615424110,"Institute of Industrial & Computer Management & Research, Nigdi, Pune",Master in Computer Application,AI-AI,AI,2314.0,93.5511867
19,2689 (92.3361383),614524110,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Master in Computer Application,AI-AI,AI,2689.0,92.3361383
20,2878 (92.3361383),353924110,"St. Wilfred's College of Computer Sciences, Mira Road(E)",Master in Computer Application,AI-AI,AI,2878.0,92.3361383
21,2983 (92.1797821),654824110,"Suryadatta Educational Foundation, Suryadatta Institute of Business Management and Technology, Pune",Master in Computer Application,AI-AI,AI,2983.0,92.1797821
22,3579 (90.7733494),614424110,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Master in Computer Application,AI-AI,AI,3579.0,90.7733494
23,3872 (89.1966341),623124110,"Sinhgad Technical Education Society's Sinhgad Institute of Management ,Vadgaon(Budruk),Pune",Master in Computer Application,AI-AI,AI,3872.0,89.1966341
24,3935 (89.1966341),675524110,"JSPM Narhe Technical Campus, Pune.",Master in Computer Application,AI-AI,AI,3935.0,89.1966341
25,4273 (89.1331398),515124110,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Master in Computer Application,AI-AI,AI,4273.0,89.1331398
26,4277 (89.1331398),317324110,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",Master in Computer Application,AI-AI,AI,4277.0,89.1331398
27,4552 (87.3496474),681224110,"Progressive Education Society's Modern Institute of Business Studies, Nigdi, Pune",Master in Computer Application,AI-AI,AI,4552.0,87.3496474
28,5020 (87.2080299),312724110,"NCRD's Sterling Institute of Management Studies, Navi Mumbai",Master in Computer Application,AI-AI,AI,5020.0,87.2080299
29,5469 (85.2118788),620124110,"Dr. D. Y. Patil School Of MCA, Lohegaon,Pune",Master in Computer Application,AI-AI,AI,5469.0,85.2118788
30,6495 (82.8308366),699224110,"Pune Cambridge Institute of Management and Computer Application, Ambegaon Pathar, Pune",Master in Computer Application,AI-AI,AI,6495.0,82.8308366
31,6513 (82.8308366),316924110,"Late Bhausaheb Hiray S. S. Trust's Institute of Computer Application, Bandra (E), Mumbai",Master in Computer Application,AI-AI,AI,6513.0,82.8308366
32,6536 (82.8308366),413824110,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Master in Computer Application,AI-AI,AI,6536.0,82.8308366
33,6631 (82.8308366),623924110,"Sinhgad Technical Education Society, Sinhgad Institute of Management & Computer Application, Narhe (Ambegaon), Pune",Master in Computer Application,AI-AI,AI,6631.0,82.8308366
