Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
34,6768 (80.5399495),697324110,"ASMS Institute of Business Management and Research MCA, Pune",Master in Computer Application,AI-AI,AI,6768.0,80.5399495
35,7461 (79.9969812),512124110,"K. K. Wagh Institute of Engineering Education and Research, Nashik",Master in Computer Application,AI-AI,AI,7461.0,79.9969812
36,7767 (77.8251197),500224110,"Department of Computer Science, North Maharashtra University, Jalgaon",Master in Computer Application,AI-AI,AI,7767.0,77.8251197
37,7900 (77.8251197),616724110,"Kamla Education Society's Pratibha Institute of Business Management, Chinchwad, Pune",Master in Computer Application,AI-AI,AI,7900.0,77.8251197
38,7967 (77.8251197),615524110,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Master in Computer Application,AI-AI,AI,7967.0,77.8251197
39,8018 (77.8251197),0303224150F,"S.N.D.T Women's University P.G.D. of Computer Science, Mumbai",Master in Computer Application,AI-AI,AI,8018.0,77.8251197
40,8024 (77.8251197),110724110,"P. R. Pote Patil College of Engineering & Management, Amravati",Master in Computer Application,AI-AI,AI,8024.0,77.8251197
41,8120 (77.8251197),623624110,"Sinhgad Technical Education Society's , Sinhgad Institute of Business Administration & Research, Kondhawa-Saswad Road, Pune",Master in Computer Application,AI-AI,AI,8120.0,77.8251197
42,8987 (74.782248),616824110,"Shikshan Maharshi Dr. D.Y. Patil Centre for Management & Research, Chikhali , Pune",Master in Computer Application,AI-AI,AI,8987.0,74.782248
43,9320 (73.5368477),613724110,"Vidya Pratishthan Institute of Information Technology, Baramati, Pune",Master in Computer Application,AI-AI,AI,9320.0,73.5368477
44,9453 (73.5368477),615224110,"Zeal Education Society's Zeal Institute of Business Administration, Computer Application and Research, Pune",Master in Computer Application,AI-AI,AI,9453.0,73.5368477
45,9475 (73.5368477),689924110,"Chhatrapati Shahu Institute of Business Education & Research, Kolhapur",Master in Computer Application,AI-AI,AI,9475.0,73.5368477
46,9697 (73.5368477),613824110,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Master in Computer Application,AI-AI,AI,9697.0,73.5368477
47,9701 (73.5368477),631024110,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Master in Computer Application,AI-AI,AI,9701.0,73.5368477
48,9841 (73.5368477),677524110,"Yashaswi Education Society's International Institute of Management Science, Chinchwad, Pune",Master in Computer Application,AI-AI,AI,9841.0,73.5368477
49,10277 (71.1549338),400324110,"Inter Institutional Computer Center and Dept. of Computer Science & Electronics, RTM Nagpur University",Master in Computer Application,AI-AI,AI,10277.0,71.1549338
50,10478 (69.7143504),212024110,"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.",Master in Computer Application,AI-AI,AI,10478.0,69.7143504
51,10659 (69.7143504),699124110,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Master in Computer Application,AI-AI,AI,10659.0,69.7143504
52,10838 (69.7143504),683624110,"Dr.D.Y.Patil Institute Of Management & Entrepreneur Development,Talegaon",Master in Computer Application,AI-AI,AI,10838.0,69.7143504
53,11048 (67.3579428),679424110,"Anantrao Pawar College of Engineering & Research, Pune",Master in Computer Application,AI-AI,AI,11048.0,67.3579428
54,11192 (67.3579428),620624110,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Master in Computer Application,AI-AI,AI,11192.0,67.3579428
55,11223 (67.3579428),1625924110,FRIENDS UNION FOR ENERGISING LIVES FUEL COLLEGE,Master in Computer Application,AI-AI,AI,11223.0,67.3579428
56,11413 (67.3579428),512024110,"MET's Institute of Management, Adgaon, Nashik",Master in Computer Application,AI-AI,AI,11413.0,67.3579428
57,11682 (65.8578922),663424110,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Master in Computer Application,AI-AI,AI,11682.0,65.8578922
58,11733 (65.8578922),615824110,"Rajmata Jijau Shikshan Prasarak Mandal's Institute of Computer and Management Research, Dudulgaon, Pune",Master in Computer Application,AI-AI,AI,11733.0,65.8578922
59,11987 (65.8578922),617024110,"Abhinav Education Society's Institute of Management and Research, Haveli, Pune",Master in Computer Application,AI-AI,AI,11987.0,65.8578922
60,11995 (65.8578922),211524110,"Sahyog Sevabhavi Santha's Indira Institute of Management Science, Nanded",Master in Computer Application,AI-AI,AI,11995.0,65.8578922
61,12548 (63.1574978),612024110,"Shri. Khanderai Pratishthans Dnyansagar Institute of Management and Research, Balewadi, Pune",Master in Computer Application,AI-AI,AI,12548.0,63.1574978
62,12728 (63.1574978),631924110,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Master in Computer Application,AI-AI,AI,12728.0,63.1574978
63,13037 (61.2807064),100524110,"Sant Gadge Baba Amravati University,Amravati",Master in Computer Application,AI-AI,AI,13037.0,61.2807064
64,13083 (61.2807064),110524110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Master in Computer Application,AI-AI,AI,13083.0,61.2807064
65,13096 (61.2807064),1635624110,Dr. Sudhakar Rao Jadhavar Institute of Management & Technology,Master in Computer Application,AI-AI,AI,13096.0,61.2807064
66,13100 (61.2807064),110224110,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",Master in Computer Application,AI-AI,AI,13100.0,61.2807064
67,13164 (61.2807064),616424110,"Psd Shastri Educational Foundation's Asma Institute Of Management, Pune",Master in Computer Application,AI-AI,AI,13164.0,61.2807064
68,13295 (61.2807064),1612524210,"Vivekanand College, Kolhapur",Master of Computer Applications,AI-AI,AI,13295.0,61.2807064
69,13857 (58.7911466),312924210,"Mumbai Institute of Management & Research, Mumbai",Master of Computer Applications,AI-AI,AI,13857.0,58.7911466
70,14445 (56.5488095),313324110,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane",Master in Computer Application,AI-AI,AI,14445.0,56.5488095
71,14602 (56.5488095),517724110,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Master in Computer Application,AI-AI,AI,14602.0,56.5488095
72,14709 (56.5488095),663224110,Navsahyadri Education Society's Group of Institutions,Master in Computer Application,AI-AI,AI,14709.0,56.5488095
73,14965 (53.942159),1635524210,Audyogik Shikshan Mandal's Nextgen Technical Campus,Master of Computer Applications,AI-AI,AI,14965.0,53.942159
74,15138 (53.942159),566524210,Vidya Niketan Institute of Management And Computer Applications,Master of Computer Applications,AI-AI,AI,15138.0,53.942159
75,15283 (53.942159),602924110,"Yashwantrao Chavan School of Rural Development, Kolhapur",Master in Computer Application,AI-AI,AI,15283.0,53.942159
76,15470 (53.942159),200124110,"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",Master in Computer Application,AI-AI,AI,15470.0,53.942159
77,15658 (51.4093808),614024110,"Dnyan Kala Krida & Krishi Prathishtan's Maharashtra Institute of Management, Kalamb, Pune",Master in Computer Application,AI-AI,AI,15658.0,51.4093808
78,15702 (51.4093808),511224110,"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",Master in Computer Application,AI-AI,AI,15702.0,51.4093808
79,15741 (51.4093808),624024110,"Siddhant Institute Of Computer Application, Sudambare",Master in Computer Application,AI-AI,AI,15741.0,51.4093808
80,16114 (51.4093808),262124110,"MDA EDUCATION AND RESEARCH INSTITUTE, KOLPA, LATUR",Master in Computer Application,AI-AI,AI,16114.0,51.4093808
81,16267 (49.3533426),200724110,"Swami Ramanand Teerth Marathwada Vidyapeeth, Nanded",Master in Computer Application,AI-AI,AI,16267.0,49.3533426
82,16270 (49.3533426),559724110,VAMANRAO ITHAPE COLLEGE OF ENGINEERING AND MANAGEMENT,Master in Computer Application,AI-AI,AI,16270.0,49.3533426
83,16384 (49.3533426),266524110,"Royal Institute of Technical Education, Latur",Master in Computer Application,AI-AI,AI,16384.0,49.3533426
84,16456 (49.3533426),510124110,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",Master in Computer Application,AI-AI,AI,16456.0,49.3533426
85,16624 (49.3533426),414224110,"G H Raisoni College of Engineering & Management, Nagpur",Master in Computer Application,AI-AI,AI,16624.0,49.3533426
86,16814 (46.3793819),530324110,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha",Master in Computer Application,AI-AI,AI,16814.0,46.3793819
87,17070 (46.3793819),626824110,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Master in Computer Application,AI-AI,AI,17070.0,46.3793819
88,17290 (46.3793819),321624210,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Master of Computer Applications,AI-AI,AI,17290.0,46.3793819
89,17372 (44.5345198),413324110,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Master in Computer Application,AI-AI,AI,17372.0,44.5345198
90,17789 (44.5345198),414724110,"K.D.K. College of Engineering, Nagpur",Master in Computer Application,AI-AI,AI,17789.0,44.5345198
91,17910 (44.5345198),470124110,"Dr.S.C. Gulhane Prerna College of Management and Technology, Nagpur",Master in Computer Application,AI-AI,AI,17910.0,44.5345198
92,18032 (41.4550394),510924110,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Master in Computer Application,AI-AI,AI,18032.0,41.4550394
93,18038 (41.4550394),699024110,Jaihind Institute of Management and Research,Master in Computer Application,AI-AI,AI,18038.0,41.4550394
94,18054 (41.4550394),511724110,Pirens Institute Of Business Management And Administration (IBMA) Loni (BK),Master in Computer Application,AI-AI,AI,18054.0,41.4550394
95,18217 (41.4550394),627724110,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Master in Computer Application,AI-AI,AI,18217.0,41.4550394
96,18221 (41.4550394),1612224110,Pharate Patil Management Institutes,Master in Computer Application,AI-AI,AI,18221.0,41.4550394
97,18240 (41.4550394),510224110,"Godavari Institute of Management & Research, Jalgaon",Master in Computer Application,AI-AI,AI,18240.0,41.4550394
98,18294 (41.4550394),533124110,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Master in Computer Application,AI-AI,AI,18294.0,41.4550394
99,18313 (41.4550394),662824110,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Master in Computer Application,AI-AI,AI,18313.0,41.4550394
100,18346 (41.4550394),111124110,"P.G. Department of Computer Science & Technology, D.C.P.E., H.V.P. Mandal, Amravati",Master in Computer Application,AI-AI,AI,18346.0,41.4550394
101,18828 (39.3989669),550924110,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Master in Computer Application,AI-AI,AI,18828.0,39.3989669
102,18862 (39.3989669),680324110,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Master in Computer Application,AI-AI,AI,18862.0,39.3989669
103,18899 (39.3989669),200524110,"Dr. Babasaheb Ambedkar Marathwada Vidyapeeth,(Aurangabad) Sub Section - Osmanabad",Master in Computer Application,AI-AI,AI,18899.0,39.3989669
104,18908 (39.3989669),621324110,"Chh. Shahu Institute Of Business Edu And Res Vasantraodada Patil Institute Of Management Studies & Research, Sangli",Master in Computer Application,AI-AI,AI,18908.0,39.3989669
105,19537 (36.496736),269424210,JAY BHARAT COLLEGE OF MCA DAPKA TQ.NILANGA DIST LATUR,Master of Computer Applications,AI-AI,AI,19537.0,36.496736
106,20035 (34.5198145),538524110,"Akole Taluka Education Society,s Agasti Institute of Management, Computer Application & Research, Akole, Ahmednagar",Master in Computer Application,AI-AI,AI,20035.0,34.5198145
107,20214 (34.5198145),511324110,"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",Master in Computer Application,AI-AI,AI,20214.0,34.5198145
108,20237 (34.5198145),624824110,"KFS - Krishna Institute of Computer Application & Management, Wathar",Master in Computer Application,AI-AI,AI,20237.0,34.5198145
109,20245 (34.5198145),412424110,"Amar Seva Mandal's Kamla Nehru Mahavidyalaya, Nagpur",Master in Computer Application,AI-AI,AI,20245.0,34.5198145
110,20390 (31.6629561),561924110,COMMERCE MANAGEMENT AND COMPUTER SCIENCE COLLEGE,Master in Computer Application,AI-AI,AI,20390.0,31.6629561
111,20391 (31.6629561),1633124110,SarSam College of Management & Technology,Master in Computer Application,AI-AI,AI,20391.0,31.6629561
112,21107 (29.9046039),322324210,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Master of Computer Applications,AI-AI,AI,21107.0,29.9046039
113,21154 (29.9046039),320024110,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Master in Computer Application,AI-AI,AI,21154.0,29.9046039
114,21505 (27.2744425),632124110,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Master in Computer Application,AI-AI,AI,21505.0,27.2744425
115,21936 (25.4779232),415124110,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Master in Computer Application,AI-AI,AI,21936.0,25.4779232
116,22081 (25.4779232),646724110,"Swami Vivekanand Institute Of Technology, Solapur",Master in Computer Application,AI-AI,AI,22081.0,25.4779232
117,22650 (21.0059952),414524110,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Master in Computer Application,AI-AI,AI,22650.0,21.0059952
118,22669 (21.0059952),225924110,"Shri Sai Institute of Management & Research, Aurangabad",Master in Computer Application,AI-AI,AI,22669.0,21.0059952
119,22948 (21.0059952),1635824110,Zeal Institute of Technology,Master in Computer Application,AI-AI,AI,22948.0,21.0059952
120,23897 (15.5994113),111324110,"Sadhana Shikshan Mandal, Saraswati College, Shegaon",Master in Computer Application,AI-AI,AI,23897.0,15.5994113
121,24120 (13.5402134),211324110,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Master in Computer Application,AI-AI,AI,24120.0,13.5402134
122,24279 (13.5402134),415724110,"V. M. Vasant Commerce, J.M. Thakar Arts & J.J. Patel Science College,Nagpur",Master in Computer Application,AI-AI,AI,24279.0,13.5402134
123,25000 (9.7430286),269524110,"MARATHWADA INSTITUTE OF TECHNOLOGY CIDCO ,CHHATRAPATI SAMBHAJINAGAR",Master in Computer Application,AI-AI,AI,25000.0,9.7430286
124,25193 (7.9446476),654524110,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",Master in Computer Application,AI-AI,AI,25193.0,7.9446476
125,25211 (7.9446476),322124110,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Master in Computer Application,AI-AI,GNTAO,25211.0,7.9446476
126,26018 (3.0466423),412824110,"Ranibai Agnihotri Institute of Computer Information Technology, Wardha",Master in Computer Application,AI-AI,AI,26018.0,3.0466423
127,26041 (3.0466423),622024110,"SVERI's College of Engineering, Pandharpur",Master in Computer Application,AI-AI,AI,26041.0,3.0466423
128,26127 (2.8640429),263324110,"Yashodeep Institute of Computer Application, MCA",Master in Computer Application,AI-AI,AI,26127.0,2.8640429
