Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
1,31 (99.8943436),321524110,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Master in Computer Application,AI-AI,AI,31.0,99.8943436
2,178 (99.4721164),603324110,"Department of Computer Science, Savitribai Phule Pune University, Pune",Master in Computer Application,AI-AI,AI,178.0,99.4721164
3,196 (99.3740809),617524110,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Master in Computer Application,AI-AI,AI,196.0,99.3740809
4,296 (99.113241),318524210,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Master of Computer Applications,AI-AI,AI,296.0,99.113241
5,346 (99.008333),303324110,"Dr. Babasaheb Ambedkar Technological University, Lonere",Master in Computer Application,AI-AI,AI,346.0,99.008333
6,419 (98.7632442),310924110,"S.I.E.S. College of Management Studies, Mumbai",Master in Computer Application,AI-AI,AI,419.0,98.7632442
7,502 (98.5181554),316724110,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai",Master in Computer Application,AI-AI,AI,502.0,98.5181554
8,752 (97.8055126),617924110,"Indira College of Engineering & Management, Pune",Master in Computer Application,AI-AI,AI,752.0,97.8055126
9,1032 (97.0718086),614124110,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Master in Computer Application,AI-AI,AI,1032.0,97.0718086
10,1085 (97.0718086),622824110,Dr. D. Y. Patil Pratishthan's D.Y.Patil Institute of,"Master of Computer Applications and Management, Akurdi, Pune Master in Computer Application",AI-AI,AI,1085.0,97.0718086
11,1112 (97.0718086),317624210,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Master of Computer Applications,AI-AI,AI,1112.0,97.0718086
12,1121 (97.0718086),316824110,"Thakur Institute of Management Studies Career Development & Research, Kandivali (E), Mumbai",Master in Computer Application,AI-AI,AI,1121.0,97.0718086
13,1242 (96.828928),311724110,"Gurunanak Institute of Management Studies, Mumbai",Master in Computer Application,AI-AI,AI,1242.0,96.828928
14,1462 (96.1125146),316224110,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",Master in Computer Application,AI-AI,AI,1462.0,96.1125146
15,1492 (96.1125146),613924110,"Progressive Education Society's Modern College of Engineering, Pune",Master in Computer Application,AI-AI,AI,1492.0,96.1125146
16,1674 (95.5548847),623224110,"Maharashtra Education Society's Institute of Management and Career Courses (IMCC), Pune",Master in Computer Application,AI-AI,AI,1674.0,95.5548847
17,1719 (95.2942951),615424110,"Institute of Industrial & Computer Management & Research, Nigdi, Pune",Master in Computer Application,AI-AI,AI,1719.0,95.2942951
18,1776 (95.2942951),612924110,"Jayawant Shikshan Prasarak Mandal's Jayawant Institute of Management Studies, Tathawade Pune-411033",Master in Computer Application,AI-AI,AI,1776.0,95.2942951
19,2593 (93.405226),614524110,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Master in Computer Application,AI-AI,AI,2593.0,93.405226
20,2983 (92.1797821),681224110,"Progressive Education Society's Modern Institute of Business Studies, Nigdi, Pune",Master in Computer Application,AI-AI,AI,2983.0,92.1797821
