Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
56,8449 (76.9216256),616424110,"Psd Shastri Educational Foundation's Asma Institute Of Management, Pune",Master in Computer Application,AI-AI,AI,8449.0,76.9216256
57,8586 (76.9216256),0697124150F,"K.B. Joshi Institute of Information Technology, Pune",Master in Computer Application,AI-AI,AI,8586.0,76.9216256
58,8614 (76.9216256),677524110,"Yashaswi Education Society's International Institute of Management Science, Chinchwad, Pune",Master in Computer Application,AI-AI,AI,8614.0,76.9216256
59,8861 (74.782248),100524110,"Sant Gadge Baba Amravati University,Amravati",Master in Computer Application,AI-AI,AI,8861.0,74.782248
60,9083 (74.782248),512024110,"MET's Institute of Management, Adgaon, Nashik",Master in Computer Application,AI-AI,AI,9083.0,74.782248
61,9112 (74.782248),110524110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Master in Computer Application,AI-AI,AI,9112.0,74.782248
62,9160 (74.782248),617024110,"Abhinav Education Society's Institute of Management and Research, Haveli, Pune",Master in Computer Application,AI-AI,AI,9160.0,74.782248
63,9521 (73.5368477),212424110,"Maratha Education Society's Institute of Management studies & Information Technology, Aurangabad",Master in Computer Application,AI-AI,AI,9521.0,73.5368477
64,9748 (73.5368477),689924110,"Chhatrapati Shahu Institute of Business Education & Research, Kolhapur",Master in Computer Application,AI-AI,AI,9748.0,73.5368477
65,9857 (71.1549338),654724110,"Suryadatta Educational Foundation, Suryadatta Institute of Management and Mass Communication, Pune",Master in Computer Application,AI-AI,AI,9857.0,71.1549338
66,9911 (71.1549338),679424110,"Anantrao Pawar College of Engineering & Research, Pune",Master in Computer Application,AI-AI,AI,9911.0,71.1549338
67,10035 (71.1549338),631024110,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Master in Computer Application,AI-AI,AI,10035.0,71.1549338
68,10099 (71.1549338),622224110,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Master in Computer Application,AI-AI,AI,10099.0,71.1549338
69,10477 (69.7143504),211924110,"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded",Master in Computer Application,AI-AI,AI,10477.0,69.7143504
70,10583 (69.7143504),518124110,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Master in Computer Application,AI-AI,AI,10583.0,69.7143504
71,10732 (69.7143504),612024110,"Shri. Khanderai Pratishthans Dnyansagar Institute of Management and Research, Balewadi, Pune",Master in Computer Application,AI-AI,AI,10732.0,69.7143504
72,10878 (69.7143504),663424110,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Master in Computer Application,AI-AI,AI,10878.0,69.7143504
73,10923 (69.7143504),414224110,"G H Raisoni College of Engineering & Management, Nagpur",Master in Computer Application,AI-AI,AI,10923.0,69.7143504
74,10984 (69.7143504),615824110,"Rajmata Jijau Shikshan Prasarak Mandal's Institute of Computer and Management Research, Dudulgaon, Pune",Master in Computer Application,AI-AI,AI,10984.0,69.7143504
75,11093 (67.3579428),602924110,"Yashwantrao Chavan School of Rural Development, Kolhapur",Master in Computer Application,AI-AI,AI,11093.0,67.3579428
76,11098 (67.3579428),262224110,"Jay Bhavani Institute of Management, Badnapur, Jalna",Master in Computer Application,AI-AI,AI,11098.0,67.3579428
77,11471 (67.3579428),322124110,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Master in Computer Application,AI-AI,AI,11471.0,67.3579428
78,11806 (65.8578922),603124110,"Punyashlok Ahilyadevi Holkar Solapur University, Solapur",Master in Computer Application,AI-AI,AI,11806.0,65.8578922
