Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
27,3245 (90.9663786),623124110,"Sinhgad Technical Education Society's Sinhgad Institute of Management ,Vadgaon(Budruk),Pune",Master in Computer Application,AI-AI,AI,3245,90.9663786
28,3343 (90.9663786),312924210,"Mumbai Institute of Management & Research, Mumbai",Master of Computer Applications,AI-AI,AI,3343,90.9663786
29,3561 (90.7733494),620124110,"Dr. D. Y. Patil School Of MCA, Lohegaon,Pune",Master in Computer Application,AI-AI,AI,3561,90.7733494
30,3607 (90.7733494),615524110,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Master in Computer Application,AI-AI,AI,3607,90.7733494
31,4044 (89.1966341),621224110,"KIT's Institute of Management Education & Research, Kolhapur",Master in Computer Application,AI-AI,AI,4044,89.1966341
32,4576 (87.3496474),616424110,"Psd Shastri Educational Foundation's Asma Institute Of Management, Pune",Master in Computer Application,AI-AI,AI,4576,87.3496474
33,4731 (87.2080299),313324110,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane",Master in Computer Application,AI-AI,AI,4731,87.2080299
34,4773 (87.2080299),623924110,"Sinhgad Technical Education Society, Sinhgad Institute of Management & Computer Application, Narhe (Ambegaon), Pune",Master in Computer Application,AI-AI,AI,4773,87.2080299
35,4839 (87.2080299),613724110,"Vidya Pratishthan Institute of Information Technology, Baramati, Pune",Master in Computer Application,AI-AI,AI,4839,87.2080299
36,4855 (87.2080299),512124110,"K. K. Wagh Institute of Engineering Education and Research, Nashik",Master in Computer Application,AI-AI,AI,4855,87.2080299
37,4923 (87.2080299),100524110,"Sant Gadge Baba Amravati University,Amravati",Master in Computer Application,AI-AI,AI,4923,87.2080299
38,4968 (87.2080299),616724110,"Kamla Education Society's Pratibha Institute of Business Management, Chinchwad, Pune",Master in Computer Application,AI-AI,AI,4968,87.2080299
39,5150 (85.3851665),683624110,"Dr.D.Y.Patil Institute Of Management & Entrepreneur Development,Talegaon",Master in Computer Application,AI-AI,AI,5150,85.3851665
40,5323 (85.3851665),623624110,"Sinhgad Technical Education Society's , Sinhgad Institute of Business Administration & Research, Kondhawa-Saswad Road, Pune",Master in Computer Application,AI-AI,AI,5323,85.3851665
41,5371 (85.3851665),699224110,"Pune Cambridge Institute of Management and Computer Application, Ambegaon Pathar, Pune",Master in Computer Application,AI-AI,AI,5371,85.3851665
42,5809 (85.2118788),414224110,"G H Raisoni College of Engineering & Management, Nagpur",Master in Computer Application,AI-AI,AI,5809,85.2118788
43,6202 (82.9644433),110724110,"P. R. Pote Patil College of Engineering & Management, Amravati",Master in Computer Application,AI-AI,AI,6202,82.9644433
44,6205 (82.9644433),322324210,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Master of Computer Applications,AI-AI,AI,6205,82.9644433
45,6421 (82.8308366),615224110,"Zeal Education Society's Zeal Institute of Business Administration, Computer Application and Research, Pune",Master in Computer Application,AI-AI,AI,6421,82.8308366
46,6438 (82.8308366),654724110,"Suryadatta Educational Foundation, Suryadatta Institute of Management and Mass Communication, Pune",Master in Computer Application,AI-AI,AI,6438,82.8308366
47,6460 (82.8308366),415224110,"Shri Shivaji Education Society Amravati's Science College (MCA), Nagpur",Master in Computer Application,AI-AI,AI,6460,82.8308366
48,6547 (82.8308366),200124110,"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",Master in Computer Application,AI-AI,AI,6547,82.8308366
49,6598 (82.8308366),110224110,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",Master in Computer Application,AI-AI,AI,6598,82.8308366
50,6624 (82.8308366),0697124150F,"K.B. Joshi Institute of Information Technology, Pune",Master in Computer Application,AI-AI,AI,6624,82.8308366
51,6633 (82.8308366),620624110,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Master in Computer Application,AI-AI,AI,6633,82.8308366
52,6647 (82.8308366),212924110,"M.S. Bidve Engineering College, Latur",Master in Computer Application,AI-AI,AI,6647,82.8308366
53,6722 (82.8308366),500224110,"Department of Computer Science, North Maharashtra University, Jalgaon",Master in Computer Application,AI-AI,AI,6722,82.8308366
54,6783 (80.5399495),613824110,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Master in Computer Application,AI-AI,AI,6783,80.5399495
55,6785 (80.5399495),614424110,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Master in Computer Application,AI-AI,AI,6785,80.5399495
56,6893 (80.5399495),699124110,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Master in Computer Application,AI-AI,AI,6893,80.5399495
57,6951 (80.5399495),697324110,"ASMS Institute of Business Management and Research MCA, Pune",Master in Computer Application,AI-AI,AI,6951,80.5399495
58,6981 (80.5399495),654824110,"Suryadatta Educational Foundation, Suryadatta Institute of Business Management and Technology, Pune",Master in Computer Application,AI-AI,AI,6981,80.5399495
59,7008 (80.5399495),322124110,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Master in Computer Application,AI-AI,AI,7008,80.5399495
60,7168 (80.5399495),515124110,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Master in Computer Application,AI-AI,AI,7168,80.5399495
61,7267 (79.9969812),621424110,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Master in Computer Application,AI-AI,AI,7267,79.9969812
62,7322 (79.9969812),617024110,"Abhinav Education Society's Institute of Management and Research, Haveli, Pune",Master in Computer Application,AI-AI,AI,7322,79.9969812
63,7364 (79.9969812),603124110,"Punyashlok Ahilyadevi Holkar Solapur University, Solapur",Master in Computer Application,AI-AI,AI,7364,79.9969812
64,7400 (79.9969812),616824110,"Shikshan Maharshi Dr. D.Y. Patil Centre for Management & Research, Chikhali , Pune",Master in Computer Application,AI-AI,AI,7400,79.9969812
65,7458 (79.9969812),303324110,"Dr. Babasaheb Ambedkar Technological University, Lonere",Master in Computer Application,AI-AI,AI,7458,79.9969812
66,7896 (77.8251197),110524110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Master in Computer Application,AI-AI,AI,7896,77.8251197
67,8311 (76.9216256),602924110,"Yashwantrao Chavan School of Rural Development, Kolhapur",Master in Computer Application,AI-AI,AI,8311,76.9216256
68,8388 (76.9216256),689924110,"Chhatrapati Shahu Institute of Business Education & Research, Kolhapur",Master in Computer Application,AI-AI,AI,8388,76.9216256
69,8673 (76.9216256),615824110,"Rajmata Jijau Shikshan Prasarak Mandal's Institute of Computer and Management Research, Dudulgaon, Pune",Master in Computer Application,AI-AI,AI,8673,76.9216256
70,8764 (74.782248),622224110,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Master in Computer Application,AI-AI,AI,8764,74.782248
71,8958 (74.782248),677524110,"Yashaswi Education Society's International Institute of Management Science, Chinchwad, Pune",Master in Computer Application,AI-AI,AI,8958,74.782248
72,9010 (74.782248),512024110,"MET's Institute of Management, Adgaon, Nashik",Master in Computer Application,AI-AI,AI,9010,74.782248
73,9348 (73.5368477),612024110,"Shri. Khanderai Pratishthans Dnyansagar Institute of Management and Research, Balewadi, Pune",Master in Computer Application,AI-AI,AI,9348,73.5368477
74,9380 (73.5368477),510924110,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Master in Computer Application,AI-AI,AI,9380,73.5368477
75,9502 (73.5368477),515024110,"R.C. Patel Educational Trust, Institute of Management Reasearch & Development, Shirpur",Master in Computer Application,AI-AI,AI,9502,73.5368477
76,9660 (73.5368477),679424110,"Anantrao Pawar College of Engineering & Research, Pune",Master in Computer Application,AI-AI,AI,9660,73.5368477
77,9666 (73.5368477),631024110,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Master in Computer Application,AI-AI,AI,9666,73.5368477
78,9846 (71.1549338),413724210,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Master of Computer Applications,AI-AI,AI,9846,71.1549338
79,9847 (71.1549338),212424110,"Maratha Education Society's Institute of Management studies & Information Technology, Aurangabad",Master in Computer Application,AI-AI,AI,9847,71.1549338
80,9953 (71.1549338),211924110,"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded",Master in Computer Application,AI-AI,AI,9953,71.1549338
81,9957 (71.1549338),663424110,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Master in Computer Application,AI-AI,AI,9957,71.1549338
82,9969 (71.1549338),1612524210,"Vivekanand College, Kolhapur",Master of Computer Applications,AI-AI,AI,9969,71.1549338
83,10178 (71.1549338),1620724170U,SADGURU GADGE MAHARAJ COLLEGE KARAD,Master in Computer Application,AI-AI,AI,10178,71.1549338
84,10333 (71.1549338),320024110,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Master in Computer Application,AI-AI,AI,10333,71.1549338
85,10390 (71.1549338),518124110,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Master in Computer Application,AI-AI,AI,10390,71.1549338
86,10423 (71.1549338),624024110,"Siddhant Institute Of Computer Application, Sudambare",Master in Computer Application,AI-AI,AI,10423,71.1549338
87,10729 (69.7143504),262224110,"Jay Bhavani Institute of Management, Badnapur, Jalna",Master in Computer Application,AI-AI,AI,10729,69.7143504
88,10792 (69.7143504),353924110,"St. Wilfred's College of Computer Sciences, Mira Road(E)",Master in Computer Application,AI-AI,AI,10792,69.7143504
89,10842 (69.7143504),621924110,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Master in Computer Application,AI-AI,AI,10842,69.7143504
90,10887 (69.7143504),321824110,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Master in Computer Application,AI-AI,AI,10887,69.7143504
91,10896 (69.7143504),511124110,"B. P. Hivale Education Society's Institute of Management Studies Career Development Research, Ahmednagar",Master in Computer Application,AI-AI,AI,10896,69.7143504
92,11027 (67.3579428),0661424150F,"Sadhu Vaswani Institute Of Management Studies For Girls, Koregaon, Pune",Master in Computer Application,AI-AI,AI,11027,67.3579428
93,11098 (67.3579428),266424110,"Deogiri College, Chh. Sambhaji Nagar",Master in Computer Application,AI-AI,AI,11098,67.3579428
94,11230 (67.3579428),414724110,"K.D.K. College of Engineering, Nagpur",Master in Computer Application,AI-AI,AI,11230,67.3579428
95,11292 (67.3579428),680324110,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Master in Computer Application,AI-AI,AI,11292,67.3579428
96,11454 (67.3579428),1613024270U,KARMAVEER HIRE ARTS SCIENCE COMMERCE AND EDUCATION COLLEGE,Master of Computer Applications,AI-AI,AI,11454,67.3579428
97,11671 (65.8578922),251924110,"Shri V. D. Deshmukh College of MCA, Kolpa Dist. Latur",Master in Computer Application,AI-AI,AI,11671,65.8578922
98,12185 (65.8578922),627724110,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Master in Computer Application,AI-AI,AI,12185,65.8578922
99,12291 (63.1574978),511224110,"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",Master in Computer Application,AI-AI,AI,12291,63.1574978
100,12315 (63.1574978),210224110,"Rajarshi Shahu Institute of Management, Aurangabad",Master in Computer Application,AI-AI,AI,12315,63.1574978
101,12472 (63.1574978),461324110,"Suryodaya College of Engineering & Technology, Nagpur",Master in Computer Application,AI-AI,AI,12472,63.1574978
102,12592 (63.1574978),511924110,"C.H.M.E. Society's Dr. Moonje Institute for Management & Computer Studies, Nashik",Master in Computer Application,AI-AI,AI,12592,63.1574978
103,12628 (63.1574978),1635624110,Dr. Sudhakar Rao Jadhavar Institute of Management & Technology,Master in Computer Application,AI-AI,AI,12628,63.1574978
104,12647 (63.1574978),412424110,"Amar Seva Mandal's Kamla Nehru Mahavidyalaya, Nagpur",Master in Computer Application,AI-AI,AI,12647,63.1574978
105,12712 (63.1574978),631924110,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Master in Computer Application,AI-AI,AI,12712,63.1574978
106,12855 (63.1574978),538624110,"Dr. B.V. Hiray College of Management & Research Centre, Malegaon.",Master in Computer Application,AI-AI,AI,12855,63.1574978
107,12932 (61.2807064),200724110,"Swami Ramanand Teerth Marathwada Vidyapeeth, Nanded",Master in Computer Application,AI-AI,AI,12932,61.2807064
108,13154 (61.2807064),533124110,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Master in Computer Application,AI-AI,AI,13154,61.2807064
109,13188 (61.2807064),538024110,"Adsul's Technical Campus, Chas Dist. Ahmednagar",Master in Computer Application,AI-AI,AI,13188,61.2807064
110,13416 (61.2807064),530324110,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha",Master in Computer Application,AI-AI,AI,13416,61.2807064
111,13423 (61.2807064),621324110,"Chh. Shahu Institute Of Business Edu And Res Vasantraodada Patil Institute Of Management Studies & Research, Sangli",Master in Computer Application,AI-AI,AI,13423,61.2807064
112,13552 (61.2807064),699024110,Jaihind Institute of Management and Research,Master in Computer Application,AI-AI,AI,13552,61.2807064
113,13564 (61.2807064),614024110,"Dnyan Kala Krida & Krishi Prathishtan's Maharashtra Institute of Management, Kalamb, Pune",Master in Computer Application,AI-AI,AI,13564,61.2807064
114,13576 (61.2807064),200524110,"Dr. Babasaheb Ambedkar Marathwada Vidyapeeth,(Aurangabad) Sub Section - Osmanabad",Master in Computer Application,AI-AI,AI,13576,61.2807064
115,13707 (58.7911466),510424110,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Master in Computer Application,AI-AI,AI,13707,58.7911466
116,13745 (58.7911466),626824110,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Master in Computer Application,AI-AI,AI,13745,58.7911466
117,13889 (58.7911466),663224110,Navsahyadri Education Society's Group of Institutions,Master in Computer Application,AI-AI,AI,13889,58.7911466
118,13937 (58.7911466),111124110,"P.G. Department of Computer Science & Technology, D.C.P.E., H.V.P. Mandal, Amravati",Master in Computer Application,AI-AI,AI,13937,58.7911466
119,13981 (58.7911466),515224110,"G H Raisoni College of Engineering and Management, Jalgaon",Master in Computer Application,AI-AI,AI,13981,58.7911466
120,14161 (58.7911466),620824110,"Deccan Education Society's Chintamanrao Institute of Management Development & Research, Sangli",Master in Computer Application,AI-AI,AI,14161,58.7911466
121,14162 (58.7911466),632124110,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Master in Computer Application,AI-AI,AI,14162,58.7911466
122,14355 (56.5488095),675724110,"Yashoda Technical Campus, Wadhe, Satara.",Master in Computer Application,AI-AI,AI,14355,56.5488095
123,14571 (56.5488095),512424210,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Master of Computer Applications,AI-AI,AI,14571,56.5488095
124,14615 (56.5488095),321624210,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Master of Computer Applications,AI-AI,AI,14615,56.5488095
125,14906 (53.942159),266524110,"Royal Institute of Technical Education, Latur",Master in Computer Application,AI-AI,AI,14906,53.942159
126,14921 (53.942159),211524110,"Sahyog Sevabhavi Santha's Indira Institute of Management Science, Nanded",Master in Computer Application,AI-AI,AI,14921,53.942159
127,15048 (53.942159),0515324150F,"West Khandesh Bhagini Seva Mandal's Dr. Suryakanta R. Ajmera M.C.A. College for Women, Dhule",Master in Computer Application,AI-AI,AI,15048,53.942159
128,15105 (53.942159),663524110,Samarth College of Engineering and Management,Master in Computer Application,AI-AI,AI,15105,53.942159
129,15142 (53.942159),1621624110,SANGOLA MAHAVIDYALAYA SANGOLA,Master in Computer Application,AI-AI,AI,15142,53.942159
130,15382 (53.942159),262124110,"MDA EDUCATION AND RESEARCH INSTITUTE, KOLPA, LATUR",Master in Computer Application,AI-AI,AI,15382,53.942159
131,15787 (51.4093808),513124110,"C.H.M.E. Society's Dr. Moonje Institute of Management & Information Technology, Nashik",Master in Computer Application,AI-AI,AI,15787,51.4093808
132,15992 (51.4093808),511324110,"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",Master in Computer Application,AI-AI,AI,15992,51.4093808
133,16428 (49.3533426),511724110,Pirens Institute Of Business Management And Administration (IBMA) Loni (BK),Master in Computer Application,AI-AI,AI,16428,49.3533426
134,16463 (49.3533426),624824110,"KFS - Krishna Institute of Computer Application & Management, Wathar",Master in Computer Application,AI-AI,AI,16463,49.3533426
135,16633 (49.3533426),517724110,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Master in Computer Application,AI-AI,AI,16633,49.3533426
136,16669 (49.3533426),212024110,"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.",Master in Computer Application,AI-AI,AI,16669,49.3533426
137,16721 (49.3533426),662824110,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Master in Computer Application,AI-AI,AI,16721,49.3533426
138,16884 (46.3793819),263524110,"Shri. Sambhaji College of Management & Technology, Degaon Road, Opp. Nadla Digras, Khadkut, Nanded",Master in Computer Application,AI-AI,AI,16884,46.3793819
139,16963 (46.3793819),538124110,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Master in Computer Application,AI-AI,AI,16963,46.3793819
140,17002 (46.3793819),269524110,"MARATHWADA INSTITUTE OF TECHNOLOGY CIDCO ,CHHATRAPATI SAMBHAJINAGAR",Master in Computer Application,AI-AI,AI,17002,46.3793819
141,17247 (46.3793819),1625924110,FRIENDS UNION FOR ENERGISING LIVES FUEL COLLEGE,Master in Computer Application,AI-AI,AI,17247,46.3793819
142,17249 (46.3793819),413824110,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Master in Computer Application,AI-AI,AI,17249,46.3793819
143,17435 (44.5345198),622024110,"SVERI's College of Engineering, Pandharpur",Master in Computer Application,AI-AI,AI,17435,44.5345198
144,18026 (41.4550394),211324110,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Master in Computer Application,AI-AI,AI,18026,41.4550394
145,18132 (41.4550394),415124110,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Master in Computer Application,AI-AI,AI,18132,41.4550394
146,18152 (41.4550394),561924110,COMMERCE MANAGEMENT AND COMPUTER SCIENCE COLLEGE,Master in Computer Application,AI-AI,AI,18152,41.4550394
147,18458 (41.4550394),415324110,"Sarvodaya Shikshan Mandal's Sardar Patel Mahavidayalaya, Dept. of Computer Studies & Research, Chandrapur",Master in Computer Application,AI-AI,AI,18458,41.4550394
148,18542 (41.4550394),1620024110,"YASHWANTRAO CHAVAN MAHAVIDYALAYA, ISLAMPUR",Master in Computer Application,AI-AI,AI,18542,41.4550394
149,18850 (39.3989669),510124110,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",Master in Computer Application,AI-AI,AI,18850,39.3989669
150,18952 (39.3989669),510224110,"Godavari Institute of Management & Research, Jalgaon",Master in Computer Application,AI-AI,AI,18952,39.3989669
151,19026 (39.3989669),413324110,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Master in Computer Application,AI-AI,AI,19026,39.3989669
152,19069 (39.3989669),414524110,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Master in Computer Application,AI-AI,AI,19069,39.3989669
153,19153 (39.3989669),1612224110,Pharate Patil Management Institutes,Master in Computer Application,AI-AI,AI,19153,39.3989669
154,19252 (36.496736),111324110,"Sadhana Shikshan Mandal, Saraswati College, Shegaon",Master in Computer Application,AI-AI,AI,19252,36.496736
155,19369 (36.496736),517024110,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Master in Computer Application,AI-AI,AI,19369,36.496736
156,19385 (36.496736),1635824110,Zeal Institute of Technology,Master in Computer Application,AI-AI,AI,19385,36.496736
157,19756 (36.496736),1635324110,"Shivsamarth Institute of Management, Talmawale",Master in Computer Application,AI-AI,AI,19756,36.496736
158,20037 (34.5198145),415724110,"V. M. Vasant Commerce, J.M. Thakar Arts & J.J. Patel Science College,Nagpur",Master in Computer Application,AI-AI,AI,20037,34.5198145
159,20164 (34.5198145),470124110,"Dr.S.C. Gulhane Prerna College of Management and Technology, Nagpur",Master in Computer Application,AI-AI,AI,20164,34.5198145
160,20341 (31.6629561),1614524270U,KARMAVEER BHAURAO PATIL MAHAVIDYALAYA PANDHARPUR AUTONOMOUS,Master of Computer Applications,AI-AI,AI,20341,31.6629561
161,20539 (31.6629561),550924110,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Master in Computer Application,AI-AI,AI,20539,31.6629561
162,20708 (31.6629561),566524210,Vidya Niketan Institute of Management And Computer Applications,Master of Computer Applications,AI-AI,AI,20708,31.6629561
163,21215 (29.9046039),412824110,"Ranibai Agnihotri Institute of Computer Information Technology, Wardha",Master in Computer Application,AI-AI,AI,21215,29.9046039
164,21553 (27.2744425),567424110,"Khandesh Education Society's Institute of Management and Technology, Amalner",Master in Computer Application,AI-AI,AI,21553,27.2744425
165,21601 (27.2744425),1633124110,SarSam College of Management & Technology,Master in Computer Application,AI-AI,AI,21601,27.2744425
166,21922 (25.4779232),256924110,"Suraj Institute of Management, Beed",Master in Computer Application,AI-AI,AI,21922,25.4779232
167,22092 (25.4779232),250824110,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Master in Computer Application,AI-AI,AI,22092,25.4779232
168,22272 (23.1010151),1635524210,Audyogik Shikshan Mandal's Nextgen Technical Campus,Master of Computer Applications,AI-AI,AI,22272,23.1010151
169,22545 (23.1010151),538524110,"Akole Taluka Education Society,s Agasti Institute of Management, Computer Application & Research, Akole, Ahmednagar",Master in Computer Application,AI-AI,AI,22545,23.1010151
170,22842 (21.0059952),263324110,"Yashodeep Institute of Computer Application, MCA",Master in Computer Application,AI-AI,AI,22842,21.0059952
171,23099 (19.1539942),225924110,"Shri Sai Institute of Management & Research, Aurangabad",Master in Computer Application,AI-AI,AI,23099,19.1539942
172,23412 (19.1539942),654524110,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",Master in Computer Application,AI-AI,AI,23412,19.1539942
173,25755 (5.5960152),559724110,VAMANRAO ITHAPE COLLEGE OF ENGINEERING AND MANAGEMENT,Master in Computer Application,AI-AI,AI,25755,5.5960152
174,25791 (4.302251),646724110,"Swami Vivekanand Institute Of Technology, Solapur",Master in Computer Application,AI-AI,AI,25791,4.302251
175,26145 (2.8640429),1615324170U,MUDHOJI COLLEGE PHALTAN,Master in Computer Application,AI-AI,AI,26145,2.8640429
176,26422 (0.8710079),467924110,"Karanjekar College of Engineering & Management, Sakoli",Master in Computer Application,AI-AI,AI,26422,0.8710079
177,26474 (0.3660239),418824110,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Master in Computer Application,AI-AI,AI,26474,0.3660239
