Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
1,52 (99.8264216),603324110,"Department of Computer Science, Savitribai Phule Pune University, Pune",Master in Computer Application,AI-AI,AI,52,99.8264216
2,55 (99.8264216),321524110,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Master in Computer Application,AI-AI,AI,55,99.8264216
3,110 (99.6830308),617524110,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Master in Computer Application,AI-AI,AI,110,99.6830308
4,148 (99.5434135),318524210,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Master of Computer Applications,AI-AI,AI,148,99.5434135
5,194 (99.3740809),310924110,"S.I.E.S. College of Management Studies, Mumbai",Master in Computer Application,AI-AI,AI,194,99.3740809
6,285 (99.113241),316724110,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai",Master in Computer Application,AI-AI,AI,285,99.113241
7,514 (98.5181554),617924110,"Indira College of Engineering & Management, Pune",Master in Computer Application,AI-AI,AI,514,98.5181554
8,546 (98.3811932),316824110,"Thakur Institute of Management Studies Career Development & Research, Kandivali (E), Mumbai",Master in Computer Application,AI-AI,AI,546,98.3811932
9,717 (98.0566771),317624210,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Master of Computer Applications,AI-AI,AI,717,98.0566771
10,766 (97.8055126),316224110,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",Master in Computer Application,AI-AI,AI,766,97.8055126
11,828 (97.6265047),311724110,"Gurunanak Institute of Management Studies, Mumbai",Master in Computer Application,AI-AI,AI,828,97.6265047
12,848 (97.6265047),622824110,Dr. D. Y. Patil Pratishthan's D.Y.Patil Institute of,"Master of Computer Applications and Management, Akurdi, Pune Master in Computer Application",AI-AI,AI,848,97.6265047
13,996 (97.390747),400324110,"Inter Institutional Computer Center and Dept. of Computer Science & Electronics, RTM Nagpur University",Master in Computer Application,AI-AI,AI,996,97.390747
14,1074 (97.0718086),614124110,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Master in Computer Application,AI-AI,AI,1074,97.0718086
15,1216 (96.828928),613924110,"Progressive Education Society's Modern College of Engineering, Pune",Master in Computer Application,AI-AI,AI,1216,96.828928
16,1241 (96.828928),623224110,"Maharashtra Education Society's Institute of Management and Career Courses (IMCC), Pune",Master in Computer Application,AI-AI,AI,1241,96.828928
17,1399 (96.392589),365124110,KANDIVLI EDUCATION SOCIETY'S B K SHROFF COLLEGE OF ARTS AND M H SHROFF COLLEGE OF COMMERCE,Master in Computer Application,AI-AI,AI,1399,96.392589
18,1609 (95.5548847),612924110,"Jayawant Shikshan Prasarak Mandal's Jayawant Institute of Management Studies, Tathawade Pune-411033",Master in Computer Application,AI-AI,AI,1609,95.5548847
19,1706 (95.2942951),615424110,"Institute of Industrial & Computer Management & Research, Nigdi, Pune",Master in Computer Application,AI-AI,AI,1706,95.2942951
20,1787 (95.2942951),681224110,"Progressive Education Society's Modern Institute of Business Studies, Nigdi, Pune",Master in Computer Application,AI-AI,AI,1787,95.2942951
21,2075 (94.4270578),614524110,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Master in Computer Application,AI-AI,AI,2075,94.4270578
22,2202 (94.4270578),317324110,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",Master in Computer Application,AI-AI,AI,2202,94.4270578
23,2611 (93.405226),312724110,"NCRD's Sterling Institute of Management Studies, Navi Mumbai",Master in Computer Application,AI-AI,AI,2611,93.405226
24,2673 (92.3361383),343824110,"Aditya Institute of Management Studies & Research, Borivali",Master in Computer Application,AI-AI,AI,2673,92.3361383
25,2771 (92.3361383),0303224150F,"S.N.D.T Women's University P.G.D. of Computer Science, Mumbai",Master in Computer Application,AI-AI,AI,2771,92.3361383
26,3075 (92.1797821),675524110,"JSPM Narhe Technical Campus, Pune.",Master in Computer Application,AI-AI,AI,3075,92.1797821
