institute_code,institute_name,branch_code,course_name,status,admission_level,stage,raw_category_code,seat_type,gender,category,quota,rank,percentile
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,53939,78.00
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGSEBCH,Non-Technical,General,SEBC,Home District,104600,64.20
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,21144,86.20
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,32764,83.20
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,93742,67.60
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,25511,85.00
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGSCH,Non-Technical,General,SC,Home District,15609,87.80
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGSEBCH,Non-Technical,General,SEBC,Home District,9894,89.80
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,3395,92.80
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,59846,76.60
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,5489,91.60
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,18089,87.20
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TGSEBCH,Technical,General,SEBC,Home District,53550,78.20
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TLOPENO,Technical,Ladies,OPEN,Other than Home District,41227,81.00
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,,DEFOPENS,Non-Technical,General,OPEN,State Level,9459,90.00
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,21773,86.00
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,11084,89.40
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NGSEBCH,Non-Technical,General,SEBC,Home District,56864,77.40
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TLSEBCH,Technical,Ladies,SEBC,Home District,29381,84.00
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,18890,86.80
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,46884,79.80
