institute_code,institute_name,branch_code,course_name,status,admission_level,stage,raw_category_code,seat_type,gender,category,quota,rank,percentile
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,64746,75.4
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGSCO,Non-Technical,General,SC,Other than Home District,26193,84.8
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,TFWS,Technical,General,TFWS,State Level,58526,77
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGSCH,Non-Technical,General,SC,Home District,20425,86.4
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGSCO,Non-Technical,General,SC,Other than Home District,36304,82.2
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGSCO,Non-Technical,General,SC,Other than Home District,86941,69.6
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,37653,82
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NGSCO,Non-Technical,General,SC,Other than Home District,56224,77.6
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,53298,78.2
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,TLOBCH,Technical,Ladies,OBC,Home District,45123,80.2
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,36186,82.2
1007,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",100720710,Civil and Rural Engineering,Government-Aided,Post-SSC Diploma,Stage-I,NGSCH,Non-Technical,General,SC,Home District,36803,82.2
1007,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",100720710,Civil and Rural Engineering,Government-Aided,Post-SSC Diploma,Stage-I,NGSEBCO,Non-Technical,General,SEBC,Other than Home District,50107,79
1007,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",100724510,Computer Engineering,Government-Aided,Post-SSC Diploma,Stage-I,NLSEBCH,Non-Technical,Ladies,SEBC,Home District,89728,68.8
1007,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",100724570U,Computer Engineering,Un-Aided,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,21381,86.2
1007,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",100724570U,Computer Engineering,Un-Aided,Post-SSC Diploma,Stage-I,NGSTO,Non-Technical,General,ST,Other than Home District,21733,86
1007,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",100737670U,Electronics Engineering,Un-Aided,Post-SSC Diploma,Stage-I,TGSTH,Technical,General,ST,Home District,45210,80.2
1008,"Government Polytechnic, Amravati",100819110,Civil Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,NGNTDH,Non-Technical,General,NTD,Home District,33121,83
1008,"Government Polytechnic, Amravati",100829310,Electrical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,UNKNOWN,Non-Technical,General,UNKNOWN,Unknown,87192,69.6
1008,"Government Polytechnic, Amravati",100837210,Electronics and Telecommunication Engg,Government-Autonomous,Post-SSC Diploma,Stage-I,NGOBCH,Non-Technical,General,OBC,Home District,13068,88.6
1008,"Government Polytechnic, Amravati",100837210,Electronics and Telecommunication Engg,Government-Autonomous,Post-SSC Diploma,Stage-I,TGSCH,Technical,General,SC,Home District,27590,84.4
1008,"Government Polytechnic, Amravati",100837210,Electronics and Telecommunication Engg,Government-Autonomous,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,6210,91.4
1008,"Government Polytechnic, Amravati",100850710,Chemical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,75393,72.8
1008,"Government Polytechnic, Amravati",100850710,Chemical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,80613,71.4
1008,"Government Polytechnic, Amravati",100850710,Chemical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,15194,88
1008,"Government Polytechnic, Amravati",100850710,Chemical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,TLSCO,Technical,Ladies,SC,Other than Home District,112632,61.4
1008,"Government Polytechnic, Amravati",100850710,Chemical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,TGOBCO,Technical,General,OBC,Other than Home District,33285,83
1008,"Government Polytechnic, Amravati",100861210,Mechanical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,TGOBCH,Technical,General,OBC,Home District,90066,68.8
1008,"Government Polytechnic, Amravati",100861210,Mechanical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,NGSCO,Non-Technical,General,SC,Other than Home District,58675,77
1008,"Government Polytechnic, Amravati",100861210,Mechanical Engineering,Government-Autonomous,Post-SSC Diploma,Stage-I,NGSCO,Non-Technical,General,SC,Other than Home District,26200,84.8
1009,"Government Polytechnic, Khamgaon",100919110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,14935,88
1009,"Government Polytechnic, Khamgaon",100919110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,20211,86.4
1009,"Government Polytechnic, Khamgaon",100919110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGSTO,Non-Technical,General,ST,Other than Home District,15060,88
1009,"Government Polytechnic, Khamgaon",100919110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGSTO,Non-Technical,General,ST,Other than Home District,24115,85.4
1009,"Government Polytechnic, Khamgaon",100924510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGOBCO,Non-Technical,General,OBC,Other than Home District,7318,90.8
1009,"Government Polytechnic, Khamgaon",100929310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NGSEBCH,Non-Technical,General,SEBC,Home District,44468,80.4
