institute_code,institute_name,branch_code,course_name,status,admission_level,stage,raw_category_code,seat_type,gender,category,quota,rank,percentile
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGSEBCH,Non-Technical,General,SEBC,Home District,67628,74.8
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,NGSCO,Non-Technical,General,SC,Other than Home District,36434,82.2
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,130147,52.4
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,,DEFOPENS,Non-Technical,General,OPEN,State Level,21640,86
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,43794,80.4
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,35725,82.4
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,16716,87.6
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,TGSTH,Technical,General,ST,Home District,70968,73.8
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,6937,91
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,,DEFOPENS,Non-Technical,General,OPEN,State Level,6423,91.2
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,6695,91.2
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,9547,90
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,24643,85.2
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,,DEFOPENS,Non-Technical,General,OPEN,State Level,7062,91
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,67433,74.8
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,7409,90.8
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TLSEBCH,Technical,Ladies,SEBC,Home District,102180,65
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NLSTH,Non-Technical,Ladies,ST,Home District,84832,70.2
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TGSCH,Technical,General,SC,Home District,93925,67.6
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TLOBCO,Technical,Ladies,OBC,Other than Home District,109937,62.4
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,17541,87.2
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,56244,77.6
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,19511,86.6
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENH,Non-Technical,General,OPEN,Home District,53912,78
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,TLOBCH,Technical,Ladies,OBC,Home District,44592,80.4
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,TLOBCH,Technical,Ladies,OBC,Home District,67786,74.6
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,39573,81.4
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,DEFOPENS,Non-Technical,General,OPEN,State Level,38421,81.8
