UDISE,College Name,College Type,Stream,Status,Medium,Reservation,Caste,Marks,Percentage,Cap Round No,City Name
27250101002,SHREE BHIRAAVNATH VIDYALAY LONI,Co-Ed,Arts,Partially Aided (20%-80%),Marathi,Women (30%),SC,214.0,42.8,CAP-2,Pune
27250101903,"SHRI.SANGAMESHWAR MADHYAMIK & KAI.BABURAO GENUJI DHOBALE UCCHA MADHYAMIK ARTS,COMM,SCI COLLEGE ,PARGAON",Co-Ed,Science,Self Financed,Marathi,Remaining seats (Pure),SC,342.0,68.4,CAP-2,Pune
27250102207,MAHATMA GANDHI VID. MANCHAR,Co-Ed,Commerce,Self Financed,English,Remaining seats (Pure),SC,254.0,50.8,CAP-2,Pune
27250102207,MAHATMA GANDHI VID. MANCHAR,Co-Ed,Science,Aided,Marathi,Women (30%),SC,315.0,63.0,CAP-2,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Arts,Aided,Marathi,Remaining seats (Pure),SC,288.0,57.599999999999994,CAP-2,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Commerce,Aided,Marathi,Remaining seats (Pure),SC,272.0,54.400000000000006,CAP-2,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,394.0,78.8,CAP-2,Pune
27250102802,SHRI WAKESWER VIDYALAY AND N D PAWALE JR COLLAGE PETH,Co-Ed,Commerce,Un-Aided,Marathi,Divyang (4%),SC,329.0,65.8,CAP-2,Pune
27250105504,SHRI BHIRAVNATH VIDYALAY SHINGAVE,Co-Ed,Science,Aided,Marathi,Women (30%),SC,379.0,75.8,CAP-2,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Arts,Aided,Marathi,Women (30%),SC,204.0,40.8,CAP-2,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Commerce,Aided,Marathi,Remaining seats (Pure),SC,289.0,57.8,CAP-2,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Science,Aided,Marathi,Women (30%),SC,365.0,73.0,CAP-2,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Science,Aided,Marathi,Remaining seats (Pure),SC,337.0,67.4,CAP-2,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Arts,Aided,Marathi,Women (30%),SC,312.0,62.4,CAP-2,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Arts,Aided,Marathi,Remaining seats (Pure),SC,207.0,41.4,CAP-2,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Commerce,Partially Aided (20%-80%),Marathi,Remaining seats (Pure),SC,300.0,60.0,CAP-2,Pune
27250201206,MAYURESHWAR SECONDARY AND HIGHER SECAONDARY SCHOOL MORGAON,Co-Ed,Science,Un-Aided,Marathi,Women (30%),SC,273.0,54.6,CAP-2,Pune
27250201802,VASTIGRUH VIDYALAY KARHATI,Co-Ed,Commerce,Self Financed,Marathi,Women (30%),SC,260.0,52.0,CAP-2,Pune
27250201802,VASTIGRUH VIDYALAY KARHATI,Co-Ed,Science,Self Financed,Marathi,Remaining seats (Pure),SC,328.0,65.60000000000001,CAP-2,Pune
27250202404,KAI.JIJABAI DADASAHEB GAWADE VID. PARAWADI,Co-Ed,Science,Self Financed,English,Women (30%),SC,311.0,62.2,CAP-2,Pune
27250203303,AJITDADA ENGLISH MEDIUM SCHOOL KATPHAL,Co-Ed,Science,Self Financed,English,Women (30%),SC,433.0,86.6,CAP-2,Pune
27250203303,AJITDADA ENGLISH MEDIUM SCHOOL KATPHAL,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,360.0,72.0,CAP-2,Pune
27250203806,CHAITANYA'S INTERNATIONAL SCHOOL,Co-Ed,Science,Self Financed,English,Women (30%),SC,475.0,95.0,CAP-2,Pune
27250203806,CHAITANYA'S INTERNATIONAL SCHOOL,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,462.0,92.4,CAP-2,Pune
27250206309,SHRI SIDDHESHWAR JUNIOR COLLEGE KORHALE BK,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,293.0,58.599999999999994,CAP-2,Pune
27250207605,SOMESHWAR VIDHYALAY & JR.COLLEGE (SCI)  SOMESHWARNAGAR,Co-Ed,Science,Partially Aided (20%-80%),Marathi,Women (30%),SC,277.0,55.400000000000006,CAP-2,Pune
27250207605,SOMESHWAR VIDHYALAY & JR.COLLEGE (SCI)  SOMESHWARNAGAR,Co-Ed,Science,Aided,Marathi,Women (30%),SC,359.0,71.8,CAP-2,Pune
27250207605,SOMESHWAR VIDHYALAY & JR.COLLEGE (SCI)  SOMESHWARNAGAR,Co-Ed,Science,Aided,Marathi,Remaining seats (Pure),SC,356.0,71.2,CAP-2,Pune
27250207611,MUGUTRAO SAHEBRAO KAKADE MAHAVIDLAYA SOMESHWARNAGAR,Co-Ed,Arts,Aided,Marathi,Women (30%),SC,190.0,38.0,CAP-2,Pune
27250207611,MUGUTRAO SAHEBRAO KAKADE MAHAVIDLAYA SOMESHWARNAGAR,Co-Ed,Arts,Aided,Marathi,Remaining seats (Pure),SC,180.0,36.0,CAP-2,Pune
27250207611,MUGUTRAO SAHEBRAO KAKADE MAHAVIDLAYA SOMESHWARNAGAR,Co-Ed,Commerce,Aided,Marathi,Women (30%),SC,302.0,60.4,CAP-2,Pune
27250207611,MUGUTRAO SAHEBRAO KAKADE MAHAVIDLAYA SOMESHWARNAGAR,Co-Ed,Commerce,Aided,Marathi,Remaining seats (Pure),SC,237.0,47.4,CAP-2,Pune
