Sr No,College,College Code,Course,Location,Category,Quota,AIR,cap_round,year
28,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,29,CAP-2,2025-26
29,Sir J.J. School,1101,Painting,Mumbai,SEBC,SEBC,30,CAP-2,2025-26
30,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,31,CAP-2,2025-26
31,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN(W),32,CAP-2,2025-26
32,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,33,CAP-2,2025-26
33,Sir J.J. School,1101,Painting,Mumbai,SC,SC,34,CAP-2,2025-26
34,Sir J.J. Institute,1202,Applied Art,Mumbai,SBC,OPEN,35,CAP-2,2025-26
35,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,36,CAP-2,2025-26
36,Sir J.J. School,1101,Painting,Mumbai,OBC,OBC,37,CAP-2,2025-26
37,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,38,CAP-2,2025-26
38,Sir J.J. School,1101,Painting,Mumbai,OBC,OBC,39,CAP-2,2025-26
39,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN(W),41,CAP-2,2025-26
40,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN(W),42,CAP-2,2025-26
41,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,43,CAP-2,2025-26
42,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,OPEN,44,CAP-2,2025-26
43,Sir J.J. Institute,1202,Applied Art,Mumbai,NTB,OPEN,45,CAP-2,2025-26
44,Sir J.J. School,1101,Painting,Mumbai,OBC,OBC,48,CAP-2,2025-26
45,Sir J.J. School,1101,Painting,Mumbai,OBC,OBC,49,CAP-2,2025-26
46,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN(W),50,CAP-2,2025-26
47,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,51,CAP-2,2025-26
48,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,52,CAP-2,2025-26
49,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,54,CAP-2,2025-26
50,Sir J.J. Institute,1202,Applied Art,Mumbai,SBC,OPEN,55,CAP-2,2025-26
51,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,56,CAP-2,2025-26
52,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,SC,OPEN(W),57,CAP-2,2025-26
53,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,59,CAP-2,2025-26
54,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,60,CAP-2,2025-26
55,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,61,CAP-2,2025-26
56,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,62,CAP-2,2025-26
57,Sir J.J. School,1104,Int. Decoration,Mumbai,OPEN,OPEN(W),63,CAP-2,2025-26
58,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,65,CAP-2,2025-26
59,Rachana Sansad,1302,Applied Art,Mumbai,SC,OPEN,66,CAP-2,2025-26
60,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,67,CAP-2,2025-26
61,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,68,CAP-2,2025-26
62,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,69,CAP-2,2025-26
63,Sir J.J. School,1103,Textile Design,Mumbai,OBC,OPEN,70,CAP-2,2025-26
64,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,71,CAP-2,2025-26
65,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,75,CAP-2,2025-26
66,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,76,CAP-2,2025-26
67,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,77,CAP-2,2025-26
68,Sir J.J. Institute,1202,Applied Art,Mumbai,NTB,NTB,78,CAP-2,2025-26
69,Sir J.J. Institute,1202,Applied Art,Mumbai,VJA,VJA,79,CAP-2,2025-26
70,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,82,CAP-2,2025-26
71,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,83,CAP-2,2025-26
72,Sir J.J. School,1107,Ceramics,Mumbai,NTB,OPEN,84,CAP-2,2025-26
73,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,86,CAP-2,2025-26
74,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,88,CAP-2,2025-26
75,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,89,CAP-2,2025-26
76,Sir J.J. School,1101,Painting,Mumbai,SC,SC,90,CAP-2,2025-26
77,Viva Institute,1702,Applied Art,Virar,OPEN,OPEN,91,CAP-2,2025-26
78,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,92,CAP-2,2025-26
79,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,93,CAP-2,2025-26
80,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,94,CAP-2,2025-26
81,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,95,CAP-2,2025-26
82,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,96,CAP-2,2025-26
83,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,97,CAP-2,2025-26
84,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,99,CAP-2,2025-26
85,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,OBC,OPEN,102,CAP-2,2025-26
86,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,105,CAP-2,2025-26
87,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,106,CAP-2,2025-26
88,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,107,CAP-2,2025-26
89,Sir J.J. School,1103,Textile Design,Mumbai,OPEN,OPEN(W),108,CAP-2,2025-26
90,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,110,CAP-2,2025-26
91,Sir J.J. School,1107,Ceramics,Mumbai,SC,SC,112,CAP-2,2025-26
92,Govt. Col of Art & Design,2102,Applied Art,Nagpur,SBC,OPEN,114,CAP-2,2025-26
93,Sir J.J. School,1104,Int. Decoration,Mumbai,OPEN,OPEN,115,CAP-2,2025-26
94,Govt. Col of Art & Design,2101,Painting,Nagpur,SBC,OPEN(W),116,CAP-2,2025-26
95,Rachana Sansad,1302,Applied Art,Mumbai,SBC,OPEN(W),118,CAP-2,2025-26
96,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,119,CAP-2,2025-26
97,Sir J.J. Institute,1202,Applied Art,Mumbai,ST,ST,123,CAP-2,2025-26
98,Sir J.J. School,1104,Int. Decoration,Mumbai,OBC,OPEN,124,CAP-2,2025-26
99,Sir J.J. School,1101,Painting,Mumbai,SC,SC,125,CAP-2,2025-26
100,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OPEN,126,CAP-2,2025-26
101,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,127,CAP-2,2025-26
102,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN(W),129,CAP-2,2025-26
103,Sir J.J. School,1104,Int. Decoration,Mumbai,OPEN,OPEN,131,CAP-2,2025-26
104,Bharati Vidyapeeth Col,1601,Painting,Pune,OBC,OPEN,132,CAP-2,2025-26
105,Sir J.J. School,1104,Int. Decoration,Mumbai,OBC,OBC,133,CAP-2,2025-26
106,Sir J.J. School,1103,Textile Design,Mumbai,OPEN,OPEN,134,CAP-2,2025-26
107,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,135,CAP-2,2025-26
108,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN(W),136,CAP-2,2025-26
109,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN(W),137,CAP-2,2025-26
110,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,138,CAP-2,2025-26
111,Sir J.J. School,1103,Textile Design,Mumbai,OPEN,OPEN(W),139,CAP-2,2025-26
112,Sir J.J. Institute,1202,Applied Art,Mumbai,NTB,NTB,140,CAP-2,2025-26
113,Sir J.J. School,1104,Int. Decoration,Mumbai,OBC,OBC,141,CAP-2,2025-26
114,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,142,CAP-2,2025-26
115,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN(W),143,CAP-2,2025-26
116,Sir J.J. School,1104,Int. Decoration,Mumbai,SC,SC,144,CAP-2,2025-26
117,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OPEN,OPEN(W),146,CAP-2,2025-26
118,Sir J.J. School,1106,Metal Work,Mumbai,OPEN,OPEN,147,CAP-2,2025-26
119,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN,149,CAP-2,2025-26
120,Sir J.J. School,1103,Textile Design,Mumbai,EWS,EWS,150,CAP-2,2025-26
121,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OPEN,OPEN,151,CAP-2,2025-26
122,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,152,CAP-2,2025-26
123,Sir J.J. School,1103,Textile Design,Mumbai,OBC,OBC,153,CAP-2,2025-26
124,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,155,CAP-2,2025-26
125,Sir J.J. School,1106,Metal Work,Mumbai,OBC,OBC,156,CAP-2,2025-26
126,Sir J.J. School,1103,Textile Design,Mumbai,OBC,OBC,157,CAP-2,2025-26
127,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,158,CAP-2,2025-26
128,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN(W),159,CAP-2,2025-26
129,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OPEN,160,CAP-2,2025-26
130,Sir J.J. School,1106,Metal Work,Mumbai,OPEN,OPEN(W),161,CAP-2,2025-26
131,Sir J.J. School,1107,Ceramics,Mumbai,OPEN,OPEN(W),163,CAP-2,2025-26
132,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OPEN,164,CAP-2,2025-26
133,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,166,CAP-2,2025-26
134,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN,167,CAP-2,2025-26
135,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN,168,CAP-2,2025-26
136,Sir J.J. School,1103,Textile Design,Mumbai,EWS,EWS,169,CAP-2,2025-26
137,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,170,CAP-2,2025-26
138,Bharati Vidyapeeth Col,1602,Applied Art,Pune,OPEN,OPEN,172,CAP-2,2025-26
139,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,173,CAP-2,2025-26
140,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,174,CAP-2,2025-26
141,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OPEN(W),175,CAP-2,2025-26
142,Govt. Col of Art & Design,2101,Painting,Nagpur,OBC,OPEN(W),177,CAP-2,2025-26
143,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OBC,OPEN,178,CAP-2,2025-26
144,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OBC,OBC,181,CAP-2,2025-26
145,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,182,CAP-2,2025-26
146,Sir J.J. School,1105,Sculpture,Mumbai,OBC,OBC,183,CAP-2,2025-26
147,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,185,CAP-2,2025-26
148,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OPEN,186,CAP-2,2025-26
149,Govt. Col of Art & Design,2102,Applied Art,Nagpur,SBC,OPEN(W),189,CAP-2,2025-26
150,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OPEN,OPEN(W),190,CAP-2,2025-26
151,Sir J.J. School,1107,Ceramics,Mumbai,OBC,OBC,191,CAP-2,2025-26
152,Govt. Col of Art & Design,2101,Painting,Nagpur,OBC,OBC,193,CAP-2,2025-26
153,Bharati Vidyapeeth Col,1602,Applied Art,Pune,OPEN,OPEN(W),194,CAP-2,2025-26
154,Bharati Vidyapeeth Col,1602,Applied Art,Pune,OBC,OPEN,195,CAP-2,2025-26
155,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OPEN,198,CAP-2,2025-26
156,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,SBC,OPEN,199,CAP-2,2025-26
157,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN(W),201,CAP-2,2025-26
158,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OBC,203,CAP-2,2025-26
159,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OPEN,204,CAP-2,2025-26
160,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OPEN,OPEN,205,CAP-2,2025-26
161,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN,207,CAP-2,2025-26
162,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OPEN,209,CAP-2,2025-26
163,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN(W),210,CAP-2,2025-26
164,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,211,CAP-2,2025-26
165,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OBC,217,CAP-2,2025-26
166,Sir J.J. School,1101,Painting,Mumbai,EWS,EWS,218,CAP-2,2025-26
167,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,SBC,OPEN,219,CAP-2,2025-26
168,Govt. Col of Art & Design,2101,Painting,Nagpur,EWS,EWS,220,CAP-2,2025-26
169,Sir J.J. School,1104,Int. Decoration,Mumbai,SC,SC,223,CAP-2,2025-26
170,Bharati Vidyapeeth Col,1602,Applied Art,Pune,OPEN,OPEN(W),224,CAP-2,2025-26
171,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,225,CAP-2,2025-26
172,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN,227,CAP-2,2025-26
173,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OBC,228,CAP-2,2025-26
174,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,OBC,OPEN,229,CAP-2,2025-26
175,Govt. Col of Art & Design,2102,Applied Art,Nagpur,SC,SC,230,CAP-2,2025-26
176,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OPEN,231,CAP-2,2025-26
177,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,SBC,OPEN,233,CAP-2,2025-26
178,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OPEN,234,CAP-2,2025-26
179,Sir J.J. Institute,1202,Applied Art,Mumbai,ST,ST,235,CAP-2,2025-26
180,Govt. Col of Art & Design,2101,Painting,Nagpur,OBC,OPEN,237,CAP-2,2025-26
181,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN(W),239,CAP-2,2025-26
182,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN,240,CAP-2,2025-26
183,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OBC,244,CAP-2,2025-26
184,Rachana Sansad,1302,Applied Art,Mumbai,SC,SC,246,CAP-2,2025-26
185,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN(W),247,CAP-2,2025-26
186,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN,248,CAP-2,2025-26
187,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,SBC,OPEN,249,CAP-2,2025-26
188,Sir J.J. School,1103,Textile Design,Mumbai,NTB,NTB,250,CAP-2,2025-26
189,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN,251,CAP-2,2025-26
190,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OPEN,OPEN,252,CAP-2,2025-26
191,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,253,CAP-2,2025-26
192,Rachana Sansad,1302,Applied Art,Mumbai,SC,SC,254,CAP-2,2025-26
193,Sir J.J. Institute,1202,Applied Art,Mumbai,VJA,VJA,258,CAP-2,2025-26
194,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OPEN,OPEN,263,CAP-2,2025-26
195,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,264,CAP-2,2025-26
196,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,265,CAP-2,2025-26
197,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN,266,CAP-2,2025-26
198,Sir J.J. School,1101,Painting,Mumbai,EWS,EWS,267,CAP-2,2025-26
199,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OBC,268,CAP-2,2025-26
200,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,OPEN,OPEN,270,CAP-2,2025-26
201,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OBC,271,CAP-2,2025-26
202,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OBC,272,CAP-2,2025-26
203,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OBC,278,CAP-2,2025-26
204,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OBC,279,CAP-2,2025-26
205,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,OBC,OPEN,280,CAP-2,2025-26
206,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,OPEN,OPEN,282,CAP-2,2025-26
207,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OBC,283,CAP-2,2025-26
208,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,285,CAP-2,2025-26
209,Sir J.J. School,1101,Painting,Mumbai,NTC,NTC,286,CAP-2,2025-26
210,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OBC,OBC,287,CAP-2,2025-26
211,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,SC,SC,288,CAP-2,2025-26
212,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OPEN,OPEN(W),289,CAP-2,2025-26
213,Sir J.J. School,1103,Textile Design,Mumbai,SC,SC,291,CAP-2,2025-26
214,Bharati Vidyapeeth Col,1602,Applied Art,Pune,OPEN,OPEN,292,CAP-2,2025-26
215,Govt. Col of Art & Design,2101,Painting,Nagpur,SC,OPEN,299,CAP-2,2025-26
216,Govt. Col of Art & Design,2102,Applied Art,Nagpur,NTB,NTB,300,CAP-2,2025-26
217,Viva Institute,1702,Applied Art,Virar,OPEN,OPEN(W),301,CAP-2,2025-26
218,Bharati Vidyapeeth Col,1602,Applied Art,Pune,SEBC,OPEN,303,CAP-2,2025-26
219,Govt. Col of Art & Design,2101,Painting,Nagpur,OPEN,OPEN,304,CAP-2,2025-26
220,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,ST,OPEN,306,CAP-2,2025-26
221,Sir J.J. School,1103,Textile Design,Mumbai,SEBC,SEBC,307,CAP-2,2025-26
222,Sir J.J. School,1101,Painting,Mumbai,EWS,EWS,313,CAP-2,2025-26
223,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OBC,314,CAP-2,2025-26
224,Viva Institute,1702,Applied Art,Virar,OPEN,OPEN,317,CAP-2,2025-26
225,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OPEN,OPEN,318,CAP-2,2025-26
226,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,EWS,EWS,319,CAP-2,2025-26
227,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OBC,OPEN(W),320,CAP-2,2025-26
228,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OPEN,OPEN(W),321,CAP-2,2025-26
229,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OBC,323,CAP-2,2025-26
230,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN,324,CAP-2,2025-26
231,Govt. Col of Art & Design,2102,Applied Art,Nagpur,SC,SC,326,CAP-2,2025-26
232,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OBC,327,CAP-2,2025-26
233,Govt. Col of Art & Design,2101,Painting,Nagpur,OBC,OPEN,332,CAP-2,2025-26
234,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OPEN,OPEN,333,CAP-2,2025-26
235,Viva Institute,1702,Applied Art,Virar,OPEN,OPEN(W),334,CAP-2,2025-26
236,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,NTB,NTB,335,CAP-2,2025-26
237,Rachana Sansad,1302,Applied Art,Mumbai,EWS,EWS,336,CAP-2,2025-26
238,Govt. Col of Art & Design,2101,Painting,Nagpur,OPEN,OPEN(W),338,CAP-2,2025-26
239,Sir J.J. Institute,1202,Applied Art,Mumbai,NTC,NTC,340,CAP-2,2025-26
240,Rachana Sansad,1302,Applied Art,Mumbai,NTB,NTB,341,CAP-2,2025-26
241,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,OBC,OBC,342,CAP-2,2025-26
242,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN(W),344,CAP-2,2025-26
243,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN(W),345,CAP-2,2025-26
244,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,NTB,OPEN(W),348,CAP-2,2025-26
245,Bharati Vidyapeeth Col,1601,Painting,Pune,OPEN,OPEN(W),352,CAP-2,2025-26
246,Sir J.J. School,1101,Painting,Mumbai,SEBC,SEBC,353,CAP-2,2025-26
247,Bharati Vidyapeeth Col,1602,Applied Art,Pune,OBC,OPEN(W),356,CAP-2,2025-26
248,Bharati Vidyapeeth Col,1602,Applied Art,Pune,NTB,OPEN,357,CAP-2,2025-26
249,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN,359,CAP-2,2025-26
250,Govt. Col of Art & Design,2102,Applied Art,Nagpur,SC,SC,361,CAP-2,2025-26
251,Sir J.J. School,1101,Painting,Mumbai,ST,ST,362,CAP-2,2025-26
252,Bharati Vidyapeeth Col,1602,Applied Art,Pune,EWS,EWS,364,CAP-2,2025-26
253,Govt. Col of Art & Design,2101,Painting,Nagpur,SC,OPEN,365,CAP-2,2025-26
254,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OBC,367,CAP-2,2025-26
255,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN,368,CAP-2,2025-26
256,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN,369,CAP-2,2025-26
257,Sir J.J. School,1104,Int. Decoration,Mumbai,SEBC,SEBC,370,CAP-2,2025-26
258,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OPEN,OPEN(W),371,CAP-2,2025-26
259,Sir J.J. Institute,1202,Applied Art,Mumbai,VJA,VJA,372,CAP-2,2025-26
260,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OBC,373,CAP-2,2025-26
261,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OBC,OBC,374,CAP-2,2025-26
262,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OBC,377,CAP-2,2025-26
263,Bharati Vidyapeeth Col,1602,Applied Art,Pune,EWS,EWS,379,CAP-2,2025-26
264,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OPEN,OPEN,380,CAP-2,2025-26
265,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OPEN,OPEN,381,CAP-2,2025-26
266,Govt. Col of Art & Design,2101,Painting,Nagpur,SEBC,SEBC,382,CAP-2,2025-26
267,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,VJA,VJA,383,CAP-2,2025-26
268,Rachana Sansad,1302,Applied Art,Mumbai,OBC,OBC,385,CAP-2,2025-26
269,Govt. Col of Art & Design,2101,Painting,Nagpur,OBC,OPEN,387,CAP-2,2025-26
270,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OPEN,OPEN,389,CAP-2,2025-26
271,Sir J.J. Institute,1202,Applied Art,Mumbai,ST,ST,390,CAP-2,2025-26
272,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OPEN,OPEN,391,CAP-2,2025-26
273,Rachana Sansad,1302,Applied Art,Mumbai,SC,SC,392,CAP-2,2025-26
274,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,SC,SC,393,CAP-2,2025-26
275,Viva Institute,1702,Applied Art,Virar,OBC,OPEN(W),394,CAP-2,2025-26
