Sr No,College,College Code,Course,Location,Category,Quota,AIR,cap_round,year
316,Bharati Vidyapeeth Col,1601,Painting,Pune,OPEN,OPEN,564,CAP-1,2025-26
317,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,NTB,NTB,567,CAP-1,2025-26
318,Sir J.J. Institute,1202,Applied Art,Mumbai,ST,ST,573,CAP-1,2025-26
319,Sir J.J. Institute,1202,Applied Art,Mumbai,ST,ST,575,CAP-1,2025-26
320,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OPEN,OPEN,578,CAP-1,2025-26
321,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OBC,OBC,583,CAP-1,2025-26
322,Viva Institute,1702,Applied Art,Virar,SC,SC,589,CAP-1,2025-26
323,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OPEN,OPEN,593,CAP-1,2025-26
324,Viva Institute,1702,Applied Art,Virar,OBC,OBC,605,CAP-1,2025-26
325,Bharati Vidyapeeth Col,1601,Painting,Pune,OBC,OPEN,608,CAP-1,2025-26
326,Sir J.J. School,1104,Int. Decoration,Mumbai,EWS,EWS,609,CAP-1,2025-26
327,Viva Institute,1701,Painting,Virar,OBC,OPEN,612,CAP-1,2025-26
328,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OPEN,OPEN,614,CAP-1,2025-26
329,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,ST,ST,617,CAP-1,2025-26
330,Viva Institute,1701,Painting,Virar,SC,OPEN,621,CAP-1,2025-26
331,Govt. Col of Art & Design,2102,Applied Art,Nagpur,SEBC,SEBC,623,CAP-1,2025-26
332,Bharati Vidyapeeth Col,1602,Applied Art,Pune,EWS,EWS,629,CAP-1,2025-26
333,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",SC,SC,634,CAP-1,2025-26
334,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OBC,OPEN,637,CAP-1,2025-26
335,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",SC,SC,638,CAP-1,2025-26
336,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",SC,SC,639,CAP-1,2025-26
337,Bharati Vidyapeeth Col,1602,Applied Art,Pune,SC,SC,641,CAP-1,2025-26
338,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",SC,SC,643,CAP-1,2025-26
339,Viva Institute,1702,Applied Art,Virar,OBC,OBC,649,CAP-1,2025-26
340,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OBC,OBC,650,CAP-1,2025-26
341,Bharati Vidyapeeth Col,1601,Painting,Pune,OBC,OPEN,651,CAP-1,2025-26
342,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OBC,OBC,657,CAP-1,2025-26
343,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OBC,OPEN,659,CAP-1,2025-26
344,Pad. V. Patil Col,1802,Applied Art,"Sion, Mumbai",OBC,OBC,667,CAP-1,2025-26
345,Viva Institute,1702,Applied Art,Virar,OBC,OBC,669,CAP-1,2025-26
346,Govt. Col of Art & Design,2101,Painting,Nagpur,EWS,EWS,675,CAP-1,2025-26
347,Bharati Vidyapeeth Col,1602,Applied Art,Pune,SC,SC,681,CAP-1,2025-26
348,Sir J.J. School,1106,Metal Work,Mumbai,SEBC,SEBC,682,CAP-1,2025-26
349,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OPEN,OPEN(W),683,CAP-1,2025-26
350,Bharati Vidyapeeth Col,1601,Painting,Pune,OBC,OBC,696,CAP-1,2025-26
351,Govt. Col of Art & Design,2101,Painting,Nagpur,VJA,VJA,701,CAP-1,2025-26
352,Viva Institute,1701,Painting,Virar,OPEN,OPEN,714,CAP-1,2025-26
353,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OPEN,OPEN,716,CAP-1,2025-26
354,Govt. Col of Art & Design,2102,Applied Art,Nagpur,EWS,EWS,717,CAP-1,2025-26
355,Viva Institute,1701,Painting,Virar,SBC,OPEN(W),721,CAP-1,2025-26
356,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,SEBC,SEBC,723,CAP-1,2025-26
357,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OPEN,OPEN,728,CAP-1,2025-26
358,Bharati Vidyapeeth Col,1601,Painting,Pune,OBC,OBC,730,CAP-1,2025-26
359,Rachana Sansad,1302,Applied Art,Mumbai,EWS,EWS,746,CAP-1,2025-26
360,Bharati Vidyapeeth Col,1601,Painting,Pune,OBC,OBC,752,CAP-1,2025-26
361,Sir J.J. School,1104,Int. Decoration,Mumbai,ST,ST,755,CAP-1,2025-26
362,Govt. Col of Art & Design,2102,Applied Art,Nagpur,ST,ST,757,CAP-1,2025-26
363,Rachana Sansad,1302,Applied Art,Mumbai,EWS,EWS,759,CAP-1,2025-26
364,Rachana Sansad,1302,Applied Art,Mumbai,SEBC,SEBC,763,CAP-1,2025-26
365,Bharati Vidyapeeth Col,1602,Applied Art,Pune,SEBC,SEBC,769,CAP-1,2025-26
366,Viva Institute,1701,Painting,Virar,OPEN,OPEN,771,CAP-1,2025-26
367,Viva Institute,1702,Applied Art,Virar,SC,SC,772,CAP-1,2025-26
368,Bharati Vidyapeeth Col,1601,Painting,Pune,SC,SC,774,CAP-1,2025-26
369,Viva Institute,1702,Applied Art,Virar,OBC,OBC,775,CAP-1,2025-26
370,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OPEN,OPEN,776,CAP-1,2025-26
371,Viva Institute,1702,Applied Art,Virar,OBC,OBC,782,CAP-1,2025-26
372,Sir J.J. Institute,1202,Applied Art,Mumbai,NTC,NTC,794,CAP-1,2025-26
373,Govt. Col of Art & Design,2101,Painting,Nagpur,SC,SC,797,CAP-1,2025-26
374,Viva Institute,1702,Applied Art,Virar,SC,SC,804,CAP-1,2025-26
375,Bharati Vidyapeeth Col,1601,Painting,Pune,SC,SC,817,CAP-1,2025-26
376,Viva Institute,1701,Painting,Virar,SC,SC,820,CAP-1,2025-26
377,Viva Institute,1701,Painting,Virar,SC,SC,830,CAP-1,2025-26
378,Bharati Vidyapeeth Col,1602,Applied Art,Pune,SEBC,SEBC,842,CAP-1,2025-26
379,Govt. Col of Art & Design,2102,Applied Art,Nagpur,EWS,EWS,853,CAP-1,2025-26
380,Viva Institute,1701,Painting,Virar,OBC,OBC,869,CAP-1,2025-26
381,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OBC,OBC,877,CAP-1,2025-26
382,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,ST,ST,880,CAP-1,2025-26
383,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OBC,OBC,887,CAP-1,2025-26
384,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,SC,SC,899,CAP-1,2025-26
385,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OBC,OBC,903,CAP-1,2025-26
386,Rachana Sansad,1302,Applied Art,Mumbai,SEBC,SEBC,904,CAP-1,2025-26
387,Bharati Vidyapeeth Col,1602,Applied Art,Pune,NTC,NTC,907,CAP-1,2025-26
388,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OBC,OBC,911,CAP-1,2025-26
389,Sir J.J. School,1104,Int. Decoration,Mumbai,NTC,NTC,913,CAP-1,2025-26
390,Viva Institute,1702,Applied Art,Virar,NTB,NTB,916,CAP-1,2025-26
391,Bharati Vidyapeeth Col,1602,Applied Art,Pune,VJA,VJA,929,CAP-1,2025-26
392,KCE`S Moolji Jaitha Colle,2301,Painting,Jalgaon,OBC,OPEN,935,CAP-1,2025-26
393,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OBC,OBC,936,CAP-1,2025-26
394,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,NTB,OPEN(W),940,CAP-1,2025-26
395,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,EWS,EWS,941,CAP-1,2025-26
396,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,SC,SC,946,CAP-1,2025-26
397,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,OBC,OPEN(W),955,CAP-1,2025-26
398,Govt. Col of Art & Design,2101,Painting,Nagpur,SEBC,SEBC,967,CAP-1,2025-26
399,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",SC,SC,985,CAP-1,2025-26
400,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OBC,OBC,1008,CAP-1,2025-26
401,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,OBC,OBC,1017,CAP-1,2025-26
402,KCE`S Moolji Jaitha Colle,2301,Painting,Jalgaon,NTC,OPEN,1027,CAP-1,2025-26
403,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,OBC,OPEN,1031,CAP-1,2025-26
404,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OBC,OBC,1034,CAP-1,2025-26
405,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,SC,SC,1036,CAP-1,2025-26
406,Sanjeevan E&T Institute,1902,Applied Art,Kolhapur,OBC,OBC,1048,CAP-1,2025-26
407,Rachana Sansad,1302,Applied Art,Mumbai,EWS,EWS,1053,CAP-1,2025-26
408,KCE`S Moolji Jaitha Colle,2301,Painting,Jalgaon,OPEN,OPEN,1058,CAP-1,2025-26
409,Govt. Col of Art & Design,2101,Painting,Nagpur,EWS,EWS,1068,CAP-1,2025-26
410,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,OBC,OPEN,1084,CAP-1,2025-26
411,Govt. Col of Art & Design,2101,Painting,Nagpur,ST,ST,1090,CAP-1,2025-26
412,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,OPEN,OPEN,1097,CAP-1,2025-26
