Sr No,College,College Code,Course,Location,Category,Quota,AIR,cap_round,year
97,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN(W),136,CAP-1,2025-26
98,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN(W),137,CAP-1,2025-26
99,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,138,CAP-1,2025-26
100,Sir J.J. School,1103,Textile Design,Mumbai,OPEN,OPEN(W),139,CAP-1,2025-26
101,Sir J.J. Institute,1202,Applied Art,Mumbai,NTB,NTB,140,CAP-1,2025-26
102,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN(W),143,CAP-1,2025-26
103,Aditya College of Archite,2002,Applied Art,"Borivali, Mumba",OPEN,OPEN(W),146,CAP-1,2025-26
104,Sir J.J. School,1106,Metal Work,Mumbai,OPEN,OPEN,147,CAP-1,2025-26
105,Rachana Sansad,1302,Applied Art,Mumbai,OPEN,OPEN,149,CAP-1,2025-26
106,Sir J.J. School,1103,Textile Design,Mumbai,EWS,EWS,150,CAP-1,2025-26
107,Govt. Col of Art & Design,2102,Applied Art,Nagpur,OPEN,OPEN,151,CAP-1,2025-26
108,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,155,CAP-1,2025-26
109,Sir J.J. School,1106,Metal Work,Mumbai,OBC,OBC,156,CAP-1,2025-26
110,Sir J.J. School,1103,Textile Design,Mumbai,OBC,OBC,157,CAP-1,2025-26
111,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,158,CAP-1,2025-26
112,Govt. Col of Art & Design,2202,Applied Art,Chatrapati Samb,OBC,OPEN(W),159,CAP-1,2025-26
