institute_code,institute_name,branch_code,branch,course_name,category,rank,score,gender,quota,category1,year,cap_round
6007,"Walchand College of Engineering, Sangli",0600724270U,ME/M.Tech,Computer Science and Engineering,GNT1S,1049,16.69,G,S,NT1,2025,3
6007,"Walchand College of Engineering, Sangli",0600724270U,ME/M.Tech,Computer Science and Engineering,GOPENS,4255,4.67,G,S,OPEN,2025,3
6007,"Walchand College of Engineering, Sangli",0600757770U,ME/M.Tech,Civil Environmental Engineering,GOPENS,1896,12.05,G,S,OPEN,2025,3
6007,"Walchand College of Engineering, Sangli",0600757770U,ME/M.Tech,Civil Environmental Engineering,GSCS,2419,10.33,G,S,SC,2025,3
6028,"Department of Technology, Shivaji University, Kolhapur",0602825410,ME/M.Tech,Computer Science and Technology,GOPENS,4787,2.78,G,S,OPEN,2025,3
6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",0612221010,ME/M.Tech,Construction Management,GOPENS,4036,5.45,G,S,OPEN,2025,3
6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",0612234110,ME/M.Tech,VLSI and Embeded Systems,GOPENS,2104,11.33,G,S,OPEN,2025,3
6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",0614121210,ME/M.Tech,Structural Engineering,GSEBCS,26,88.44,G,S,SEBC,2025,3
6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",0614124510,ME/M.Tech,Computer Engineering,GOPENS,2897,8.77,G,S,OPEN,2025,3
6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",0614124510,ME/M.Tech,Computer Engineering,GSTS,3706,6.46,G,S,ST,2025,3
6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",0614524510,ME/M.Tech,Computer Engineering,GOPENS,4442,4.01,G,S,OPEN,2025,3
6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",0614524510,ME/M.Tech,Computer Engineering,GNT3S,5082,1.55,G,S,NT3,2025,3
6146,"MIT Academy of Engineering,Alandi, Pune",0614624510,ME/M.Tech,Computer Engineering,GOPENS,1117,16.28,G,S,OPEN,2025,3
6146,"MIT Academy of Engineering,Alandi, Pune",0614624510,ME/M.Tech,Computer Engineering,GSCS,1771,12.67,G,S,SC,2025,3
6146,"MIT Academy of Engineering,Alandi, Pune",0614624510,ME/M.Tech,Computer Engineering,GOBCS,1549,13.67,G,S,OBC,2025,3
6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",0615521210,ME/M.Tech,Structural Engineering,GOPENS,3438,7.16,G,S,OPEN,2025,3
6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",0615524510,ME/M.Tech,Computer Engineering,GOPENS,4094,5.24,G,S,OPEN,2025,3
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",0615624510,ME/M.Tech,Computer Engineering,GOPENS,2565,9.74,G,S,OPEN,2025,3
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",0615624510,ME/M.Tech,Computer Engineering,GSCS,3571,6.87,G,S,SC,2025,3
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",0615624510,ME/M.Tech,Computer Engineering,GNT2S,3557,6.87,G,S,NT2,2025,3
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",0615624510,ME/M.Tech,Computer Engineering,GOBCS,1705,59.0,G,S,OBC,2025,3
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",0615694010,ME/M.Tech,Data Sciences,GOPENS,1313,15.0,G,S,OPEN,2025,3
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",0615694010,ME/M.Tech,Data Sciences,GSCS,2467,10.07,G,S,SC,2025,3
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617521010,ME/M.Tech,Construction Management,GOPENS,1424,14.33,G,S,OPEN,2025,3
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617521010,ME/M.Tech,Construction Management,GVJS,1651,13.09,G,S,VJ,2025,3
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617524510,ME/M.Tech,Computer Engineering,GOPENS,933,17.67,G,S,OPEN,2025,3
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617524510,ME/M.Tech,Computer Engineering,GNT1S,3579,6.82,G,S,NT1,2025,3
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617524510,ME/M.Tech,Computer Engineering,GOBCS,1000,17.22,G,S,OBC,2025,3
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617534110,ME/M.Tech,VLSI and Embeded Systems,GOPENS,3009,8.44,G,S,OPEN,2025,3
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",0617594310,ME/M.Tech,Artificial Intelligence and Data Science,GOPENS,444,27.33,G,S,OPEN,2025,3
6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",0617720110,ME/M.Tech,Environmental Engineering,GOPENS,3652,6.53,G,S,OPEN,2025,3
6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",0617721210,ME/M.Tech,Structural Engineering,GOPENS,2775,9.21,G,S,OPEN,2025,3
6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",0617721210,ME/M.Tech,Structural Engineering,GSTS,3584,6.82,G,S,ST,2025,3
6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",0617824510,ME/M.Tech,Computer Engineering,GOPENS,2223,10.97,G,S,OPEN,2025,3
6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",0617824510,ME/M.Tech,Computer Engineering,GNT2S,3719,6.33,G,S,NT2,2025,3
6179,"Indira College of Engineering & Management, Pune",0617924510,ME/M.Tech,Computer Engineering,GOPENS,3682,6.49,G,S,OPEN,2025,3
6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",0618421210,ME/M.Tech,Structural Engineering,GOPENS,5271,0.34,G,S,OPEN,2025,3
6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",0620324510,ME/M.Tech,Computer Engineering,GOPENS,2986,8.51,G,S,OPEN,2025,3
6206,"Pune District Education  Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",0620624510,ME/M.Tech,Computer Engineering,GOPENS,5294,0.33,G,S,OPEN,2025,3
