institute_code,institute_name,branch_code,branch,course_name,category,rank,score,gender,quota,category1,year,cap_round
1002,"Government College of Engineering, Amravati",0100221210,ME/M.Tech,Structural Engineering,GOBCS,4638,3.41,G,S,OBC,2025,4
1002,"Government College of Engineering, Amravati",0100224210,ME/M.Tech,Computer Science and Engineering,GOPENS,5229,0.74,G,S,OPEN,2025,4
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124510,ME/M.Tech,Computer Engineering,GOPENS,4872,2.59,G,S,OPEN,2025,4
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",0112337210,ME/M.Tech,Electronics and Telecommunication Engg,GSCS,1159,16.0,G,S,SC,2025,4
2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",0211421210,ME/M.Tech,Structural Engineering,GOPENS,5114,1.35,G,S,OPEN,2025,4
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",0301220110,ME/M.Tech,Environmental Engineering,GOPENS,1812,12.4,G,S,OPEN,2025,4
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",0301220110,ME/M.Tech,Environmental Engineering,GOPENS,3800,6.14,G,S,OPEN,2025,4
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",0301220110,ME/M.Tech,Environmental Engineering,GOPENS,3085,8.26,G,S,OPEN,2025,4
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",0301221010,ME/M.Tech,Construction Management,GOPENS,535,23.1,G,S,OPEN,2025,4
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",0301221210,ME/M.Tech,Structural Engineering,GSCS,3671,6.53,G,S,SC,2025,4
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",0301221210,ME/M.Tech,Structural Engineering,GSCS,1745,12.74,G,S,SC,2025,4
