institute_code,institute_name,branch_code,branch,course_name,category,rank,score,gender,quota,category1,year,cap_round
1002,"Government College of Engineering, Amravati",100220010.0,ME/M.Tech,Geo Technical Engineering,GOPENS,3213,7.91,G,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100220110.0,ME/M.Tech,Environmental Engineering,GOPENS,3697,6.48,G,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100220110.0,ME/M.Tech,Environmental Engineering,GSCS,4247,4.77,G,S,SC,2025,2
1002,"Government College of Engineering, Amravati",100220110.0,ME/M.Tech,Environmental Engineering,GNT3S,4632,3.43,G,S,NT3,2025,2
1002,"Government College of Engineering, Amravati",100220110.0,ME/M.Tech,Environmental Engineering,GOBCS,3412,7.22,G,S,OBC,2025,2
1002,"Government College of Engineering, Amravati",100220110.0,ME/M.Tech,Environmental Engineering,PWDOPENS,4409,4.12,P,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100221210.0,ME/M.Tech,Structural Engineering,GOPENS,590,21.72,G,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100221210.0,ME/M.Tech,Structural Engineering,GVJS,1728,12.74,G,S,VJ,2025,2
1002,"Government College of Engineering, Amravati",100221210.0,ME/M.Tech,Structural Engineering,GNT1S,897,17.92,G,S,NT1,2025,2
1002,"Government College of Engineering, Amravati",100221210.0,ME/M.Tech,Structural Engineering,GOBCS,1895,12.05,G,S,OBC,2025,2
1002,"Government College of Engineering, Amravati",100221210.0,ME/M.Tech,Structural Engineering,GSEBCS,1180,15.85,G,S,SEBC,2025,2
1002,"Government College of Engineering, Amravati",100221210.0,ME/M.Tech,Structural Engineering,PWDOPENS,1562,13.64,P,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100224210.0,ME/M.Tech,Computer Science and Engineering,GOPENS,1885,12.19,G,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100224210.0,ME/M.Tech,Computer Science and Engineering,GSCS,2881,8.92,G,S,SC,2025,2
1002,"Government College of Engineering, Amravati",100224210.0,ME/M.Tech,Computer Science and Engineering,GSTS,2789,9.09,G,S,ST,2025,2
1002,"Government College of Engineering, Amravati",100224210.0,ME/M.Tech,Computer Science and Engineering,GNT2S,2352,10.39,G,S,NT2,2025,2
1002,"Government College of Engineering, Amravati",100224210.0,ME/M.Tech,Computer Science and Engineering,GOBCS,3139,8.1,G,S,OBC,2025,2
1002,"Government College of Engineering, Amravati",100224210.0,ME/M.Tech,Computer Science and Engineering,GSEBCS,2894,8.77,G,S,SEBC,2025,2
1002,"Government College of Engineering, Amravati",100224210.0,ME/M.Tech,Computer Science and Engineering,PWDOPENS,3553,6.87,P,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100229210.0,ME/M.Tech,Electrical Power System,GOPENS,4456,4.0,G,S,OPEN,2025,2
1002,"Government College of Engineering, Amravati",100260610.0,ME/M.Tech,Production Engineering,GOPENS,4276,4.67,G,S,OPEN,2025,2
1005,"Sant Gadge Baba Amravati University,Amravati",100594310.0,ME/M.Tech,Artificial Intelligence and Data Science,GOPENS,4707,3.19,G,S,OPEN,2025,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110124510.0,ME/M.Tech,Computer Engineering,GOPENS,3998,5.52,G,S,OPEN,2025,2
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110124510.0,ME/M.Tech,Computer Engineering,PWDOPENS,4506,3.89,P,S,OPEN,2025,2
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",110520110.0,ME/M.Tech,Environmental Engineering,GOPENS,4965,2.04,G,S,OPEN,2025,2
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",110521210.0,ME/M.Tech,Structural Engineering,GOPENS,4310,4.43,G,S,OPEN,2025,2
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",110521210.0,ME/M.Tech,Structural Engineering,GSCS,5035,1.7,G,S,SC,2025,2
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",110521210.0,ME/M.Tech,Structural Engineering,PWDOPENS,3915,5.79,P,S,OPEN,2025,2
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",110524210.0,ME/M.Tech,Computer Science and Engineering,GOPENS,4438,4.01,G,S,OPEN,2025,2
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",110524210.0,ME/M.Tech,Computer Science and Engineering,GOBCS,5287,0.33,G,S,OBC,2025,2
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110724210.0,ME/M.Tech,Computer Science and Engineering,GSTS,2581,9.67,G,S,ST,2025,2
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110724210.0,ME/M.Tech,Computer Science and Engineering,GVJS,3122,8.12,G,S,VJ,2025,2
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110724210.0,ME/M.Tech,Computer Science and Engineering,GOBCS,3752,6.33,G,S,OBC,2025,2
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",111421110.0,ME/M.Tech,Civil - Structural Engineering,GOPENS,4307,4.44,G,S,OPEN,2025,2
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",111624210.0,ME/M.Tech,Computer Science and Engineering,GNT1S,2899,8.77,G,S,NT1,2025,2
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",111624210.0,ME/M.Tech,Computer Science and Engineering,GNT2S,3643,6.64,G,S,NT2,2025,2
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",111624210.0,ME/M.Tech,Computer Science and Engineering,GOBCS,4776,2.92,G,S,OBC,2025,2
