sr_no,merit_no,score,choice_code,institute_name,course_name,type,seat_type
1,24,99.99,300110210,"Jamnalal Bajaj Institute of Management Studies, Mumbai",M. M. S.,AI-AI,AI
2,66,99.97,300210210,"Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE), Mumbai",M. M. S.,AI-AI,AI
3,136,99.92,310710210,"Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai",M. M. S.,AI-AI,AI
4,227,99.86,313410210,"Bombay St. Xavier College Soc.'s Xavier Institute of Management & Research, Mumbai",M. M. S.,AI-AI,AI
5,248,99.85,310910210,"S.I.E.S. College of Management Studies, Mumbai",M. M. S.,AI-AI,AI
6,258,99.83,600110110,"Department of Management Sciences (PUMBA), University of Pune",M. B. A.,AI-AI,AI
7,263,99.83,600610110,COEP Technological University,M. B. A.,AI-AI,AI
8,452,99.68,600664010,COEP Technological University,MBA (Business Analytics),AI-AI,AI
9,463,99.67,310210210,"Chetana's Ramprasad Khandelwal Institute of Management & Research, Mumbai",M. M. S.,AI-AI,AI
10,675,99.47,310610210,"MET's Institute of Management, Mumbai",M. M. S.,AI-AI,AI
11,744,99.39,617910110,"Indira College of Engineering & Management, Pune",M. B. A.,AI-AI,AI
12,831,99.3,310410210,"Lala Lajpatrai Institute of Management, Mumbai",M. M. S.,AI-AI,AI
13,1296,98.6,310810210,"Rizvi Institute of Management Studies & Research, Mumbai",M. M. S.,AI-AI,AI
14,1316,98.57,311810210,"Zagdu Singh Chartitable Trust's Thakur Institute of Management Studies & Research, Mumbai",M. M. S.,AI-AI,AI
15,1423,98.43,311010210,"Vivekanand Education Society's Institute of Management Studies & Research, Mumbai",M. M. S.,AI-AI,AI
16,1963,97.59,300310210,"Alkesh Dinesh Modi Institute for Financial & Management Studies, Mumbai",M. M. S.,AI-AI,AI
17,2118,97.29,610310110,"Shree C. E. Society's Indira Institute of Management, Pune",M. B. A.,AI-AI,AI
18,2769,96.16,311910210,"St. Francis Institute of Management & Research, Mumbai",M. M. S.,AI-AI,AI
20,3369,95.16,311610210,"Agnel Charities Agnel Seva Sangha's Fr. C. Rodrigues Inst. of Management. Studies, Vashi, Navi Mumbai",M. M. S.,AI-AI,AI
21,3407,95.03,646010110,"S.C.E.S. Indira School Of Business Studies, Tathwade",M. B. A.,AI-AI,AI
22,3686,94.5,697610110,Indira Global School of Business,M. B. A.,AI-AI,AI
23,4029,93.94,310110210,"Bharti Vidyapeeth's Institute of Management Studies & Research, Navi Mumbai",M. M. S.,AI-AI,AI
24,4180,93.67,311710210,"Gurunanak Institute of Management Studies, Mumbai",M. M. S.,AI-AI,AI
25,4479,93.05,335010210,"Durgadevi Saraf Institute of Management Studies, Malad (W), Mumbai",M. M. S.,AI-AI,AI
26,4623,92.78,313910210,"Vidyalankar Institute of Technology,Wadala, Mumbai",M. M. S.,AI-AI,AI
27,4666,92.76,300410250F,"Jankidevi Bajaj Institute of Management Studies, Santacruz, Mumbai",M. M. S.,AI-AI,AI
28,4921,92.21,411510110,"Shri Ramdeobaba College of Engineering and Management, Nagpur",M. B. A.,AI-AI,AI
29,5433,91.48,611010110,"Modern Education Society's Neville Wadia Institute of Management Studies & Research, Pune",M. B. A.,AI-AI,AI
30,5457,91.39,312010210,"Atharva Educational Trust, Atharva Institute of Management Studies, Mumbai",M. M. S.,AI-AI,AI
31,5488,91.08,610410110,"Dr. D.Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Management & Research, Pimpri",M. B. A.,AI-AI,AI
32,6558,89.17,400110110,"Department of Business Management, Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",M. B. A.,AI-AI,AI
33,6725,89.01,620710110,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",M. B. A.,AI-AI,AI
34,6777,89.01,613310110,"Dr. D.Y. Patil Pratishthan's Dr. D. Y. Patil Institute of Management Studies, Akurdi, Pune",M. B. A.,AI-AI,AI
35,6878,88.54,697663710,Indira Global School of Business,MBA (Services Management),AI-AI,AI
36,7451,87.56,321810210,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",M. M. S.,AI-AI,AI
37,7655,87.32,344310210,"Sheila Raheja School of Business Management & Research, Bandra(E), Mumbai.",M. M. S.,AI-AI,AI
38,8002,86.43,335410210,"Kohinoor Business School, Kurla (West), Mumbai",M. M. S.,AI-AI,AI
40,8431,85.98,619910110,"Poona Institute of Management Studies & Enterpreneurship, Pune - 411001",M. B. A.,AI-AI,AI
41,8441,85.98,312310210,"Parle Tilak Vidyalaya Asso.'s Institute of Management, Mumbai",M. M. S.,AI-AI,AI
42,8446,85.98,610463410,"Dr. D.Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Management & Research, Pimpri",Digital Marketing,AI-AI,AI
