sr_no,merit_no,score,choice_code,institute_name,course_name,type,seat_type
56,13786,75.89,611810110,"All India Shri Shivaji Memorial Society's Institute of Management, Pune",M. B. A.,AI to AI,AI
57,13835,75.86,615410110,"Institute of Industrial & Computer Management & Research, Nigdi, Pune",M. B. A.,AI to AI,AI
58,14238,75.49,619916310,"Poona Institute of Management Studies & Enterpreneurship, Pune - 411001",M.B.A.(Information Technology),AI to AI,AI
60,14900,74.09,611310110,"Sinhgad Technical Education Society's Sinhgad Institute of Management, Vadgaon (Budruk), Pune",M. B. A.,AI to AI,AI
61,15250,73.71,614110110,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",M. B. A.,AI to AI,AI
62,15402,73.25,211510110,"Sahyog Sevabhavi Santha's Indira Institute of Management Science, Nanded",M. B. A.,AI to AI,AI
63,15756,72.76,617810110,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",M. B. A.,AI to AI,AI
64,15820,72.76,312910210,"Mumbai Institute of Management & Research, Mumbai",M. M. S.,AI to AI,AI
65,15990,72.48,512010110,"MET's Institute of Management, Adgaon, Nashik",M. B. A.,AI to AI,AI
66,16474,70.81,619210110,"Pimpri Chinchwad Education Trust's S.B. Patil Institute of Management, Nigdi, Pune",M. B. A.,AI to AI,AI
67,17351,69.58,341910210,"Sir M Visvesvaraya Institute of Management Studies & Research, Wadala, Mumbai",M. M. S.,AI to AI,AI
68,17486,69.34,200110110,"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",M. B. A.,AI to AI,AI
69,17629,69.31,410210110,"Param Poojya Dr. Babasaheb Ambedkar Smarak Samiti Dr. Ambedkar Department of Management Studies & Research, Nagpur",M. B. A.,AI to AI,AI
70,18206,68.56,110110110,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",M. B. A.,AI to AI,AI
71,18323,68.21,343810210,"Aditya Institute of Management Studies & Research, Borivali",M. M. S.,AI to AI,AI
72,18447,68.13,664163610,"Pune Institute Of Business Management, Pune",MBA(FIN TECH),AI to AI,AI
73,18674,67.17,663110110,"Modern Institute of Business Management, Pune",M. B. A.,AI to AI,AI
74,19003,66.85,512110110,"K. K. Wagh Institute of Engineering Education and Research, Nashik",M. B. A.,AI to AI,AI
75,19082,66.44,416710110,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",M. B. A.,AI to AI,AI
76,19702,65.46,311310210,"Maratha Mandir's Babasaheb Gawde Institute of Management Studies, Mumbai",M. M. S.,AI to AI,AI
77,19739,65.46,611910110,"PIBM- Tirupati Institute of Management, Pune",M. B. A.,AI to AI,AI
78,19779,65.15,662610110,"Arihant Institute Of Business Management, Bawdhan",M. B. A.,AI to AI,AI
80,20083,64.88,664163510,"Pune Institute Of Business Management, Pune",MBA(PROJECT MANAGEMENT),AI to AI,AI
81,20617,63.77,111410110,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",M. B. A.,AI to AI,AI
82,21059,63.21,130262910,"Sushila Suryawanshi Management Institute of Technology Advancement, Rahatgaon,Â Amravati",MBA ( Finance ),AI to AI,AI
83,21286,63.1,618910110,"Dr. D. Y. Patil School Of Management, Lohegaon,Pune",M. B. A.,AI to AI,AI
84,21480,62.17,466110110,"Ahirkar Institute of Management Studies, Nagpur",M. B. A.,AI to AI,AI
85,21519,62.17,130216410,"Sushila Suryawanshi Management Institute of Technology Advancement, Rahatgaon,Â Amravati",M.B.A.(Human Resource Management),AI to AI,AI
86,21651,61.77,615610110,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",M. B. A.,AI to AI,AI
87,21696,61.77,312363110,"Parle Tilak Vidyalaya Asso.'s Institute of Management, Mumbai","MBA - Innovation, Entrepreneurship and Venture Development (IEV)",AI to AI,AI
88,22110,61.1,619962810,"Poona Institute of Management Studies & Enterpreneurship, Pune - 411001",MBA ( Human Resource Development),AI to AI,AI
89,22244,61.01,313010210,"VPM's Dr. V.N. Bedekar Institute Of Management Studies, Mumbai",M. M. S.,AI to AI,AI
90,22382,61.01,612910110,"Jayawant Shikshan Prasarak Mandal's Jayawant Institute of Management Studies, Tathawade Pune-411033",M. B. A.,AI to AI,AI
91,22736,60.16,414110110,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",M. B. A.,AI to AI,AI
92,22909,60.13,618410110,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",M. B. A.,AI to AI,AI
93,22987,60.02,317310210,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",M. M. S.,AI to AI,AI
94,23120,58.83,319410210,"Vidyavardhini's College of Engineering and Technology, Vasai",M. M. S.,AI to AI,AI
95,24271,57.68,661410150F,"Sadhu Vaswani Institute Of Management Studies For Girls, Koregaon, Pune",M. B. A.,AI to AI,AI
96,24275,57.5,619710110,Aditya Institute of Management- AIMS,M. B. A.,AI to AI,AI
97,24671,56.45,610810110,"Marathwada Mitra Mandal's Institute of Mangement Education Research & Training, Pune",M. B. A.,AI to AI,AI
98,24713,56.45,262164510,"MDA EDUCATION AND RESEARCH INSTITUTE, KOLPA, LATUR",MBA (Human Resource DevelopmentÂ andÂ Management),AI to AI,AI
100,25365,55.15,312710210,"NCRD's Sterling Institute of Management Studies, Navi Mumbai",M. M. S.,AI to AI,AI
101,25665,55.15,613910110,"Progressive Education Society's Modern College of Engineering, Pune",M. B. A.,AI to AI,AI
102,25681,54.94,500110110,"Department of Management Studies, North Maharashtra University, Jalgaon",M. B. A.,AI to AI,AI
103,25792,54.57,613110110,"Sinhgad Institute of Management and Computer Applications, Pune",M. B. A.,AI to AI,AI
104,27168,52.17,410710110,"Yugantar Education Society's Tirpude Institute of Management Education, Nagpur",M. B. A.,AI to AI,AI
105,27428,51.6,614310110,"JSPM's Jayawantrao Sawant Institute of Management & Research, Hadapsar, Pune",M. B. A.,AI to AI,AI
106,27851,50.53,614510110,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",M. B. A.,AI to AI,AI
107,27943,50.53,621210110,"KIT's Institute of Management Education & Research, Kolhapur",M. B. A.,AI to AI,AI
108,28075,50.46,410810110,"G. S. College of Commerce & Economics Department Of Management Sciences And Research, Nagpur",M. B. A.,AI to AI,AI
109,28195,50.34,623210110,"Maharashtra Education Society's Institute of Management and Career Courses (IMCC), Pune",M. B. A.,AI to AI,AI
110,28384,49.62,314910210,"Shree Shankar Narayan Education Trust's Rohidas Patil Institute of Management Studies, Bhayandar",M. M. S.,AI to AI,AI
111,28730,49,661510110,"ISMS Sankalp Business School, Pune",M. B. A.,AI to AI,AI
112,28906,48.73,618610110,"Indsearch Institute Of Management Studies & Research, Pune",M. B. A.,AI to AI,AI
113,29641,47,539810110,"Ashoka Business School, Nashik",M. B. A.,AI to AI,AI
114,29735,46.67,674110110,"Sinhgad Technical Education Society's S.K.N. Sinhgad School of Business Management, Ambegaon, Tal. Haveli Dist. Pune",M. B. A.,AI to AI,AI
115,29886,46.52,110510110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",M. B. A.,AI to AI,AI
116,30098,46.5,110210110,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",M. B. A.,AI to AI,AI
117,30515,45.67,510810110,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",M. B. A.,AI to AI,AI
118,31066,44.96,610710110,"Poona District Education Association's, Mahatma Phule Institute of Management & Computer Studies, Pune",M. B. A.,AI to AI,AI
120,31290,44.52,600210110,"Department of Commerce & Management, Shivaji University, Kolhapur",M. B. A.,AI to AI,AI
121,31420,44.17,618610210,"Indsearch Institute Of Management Studies & Research, Pune",M. M. S.,AI to AI,AI
122,31856,43.13,616710110,"Kamla Education Society's Pratibha Institute of Business Management, Chinchwad, Pune",M. B. A.,AI to AI,AI
123,32100,42.7,321710210,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",M. M. S.,AI to AI,AI
124,32173,42.15,315110210,"Vishweshwar Education Society's Indira Institute of Business Management, Navi Mumbai",M. M. S.,AI to AI,AI
125,32325,42.15,112110110,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",M. B. A.,AI to AI,AI
126,33010,41.12,613210110,"Sinhgad Institute of Business Administration and Research, Pune",M. B. A.,AI to AI,AI
127,33608,39.92,675510110,"JSPM Narhe Technical Campus, Pune.",M. B. A.,AI to AI,AI
128,33657,39.92,510910110,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",M. B. A.,AI to AI,AI
129,33779,39.6,336010210,"GNVS Institute of Management, Sion-Koliwada(E), Mumbai",M. M. S.,AI to AI,AI
130,33790,39.42,225610110,"Foster Development School of Management, Aurangabad",M. B. A.,AI to AI,AI
131,33991,38.52,313110210,"Hashmatrai and Gangaram Himathmal Mansukhani Institute of Management, Ulhasnagar, Thane",M. M. S.,AI to AI,AI
132,33992,38.5,538010110,"Adsul's Technical Campus, Chas Dist. Ahmednagar",M. B. A.,AI to AI,AI
133,34086,38.47,620510110,"Sinhgad Institute of Business Administration and Computer Application, Lonavala",M. B. A.,AI to AI,AI
134,34292,38.47,622210110,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",M. B. A.,AI to AI,AI
135,34303,38.37,411610110,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",M. B. A.,AI to AI,AI
136,34597,38.3,610210110,"Audyogik Shikshan Mandal's Institute of Business Management & Research MBA Institute, Pune",M. B. A.,AI to AI,AI
137,34824,37.57,315910210,"JNIESTR's,Rajeev Gandhi College of Management Studies, Navi Mumbai",M. M. S.,AI to AI,AI
138,35309,36.31,689910110,"Chhatrapati Shahu Institute of Business Education & Research, Kolhapur",M. B. A.,AI to AI,AI
140,35424,35.85,621110110,"S.A.P.D.J. Pathshala's Hirachand Nemchand College of Commerce Department of Management Studies, Solapur",M. B. A.,AI to AI,AI
141,35665,35.08,663810110,"Matrix School of Managment Studies, Ambegaon",M. B. A.,AI to AI,AI
142,35712,35.03,613710110,"Vidya Pratishthan Institute of Information Technology, Baramati, Pune",M. B. A.,AI to AI,AI
143,35921,35.03,677210110,"NBN Sinhgad Technical Institutes Campus, Pune",M. B. A.,AI to AI,AI
144,35993,35.03,621410110,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",M. B. A.,AI to AI,AI
145,36586,33.34,512610110,"Ozar Vikas Sanstha's Vishwasattya College of MBA, Ozar.",M. B. A.,AI to AI,AI
146,36727,33.13,538610110,"Dr. B.V. Hiray College of Management & Research Centre, Malegaon.",M. B. A.,AI to AI,AI
147,37274,32.54,616810110,"Shikshan Maharshi Dr. D.Y. Patil Centre for Management & Research, Chikhali , Pune",M. B. A.,AI to AI,AI
148,37402,32.32,461510110,"Govindram Seksaria College of Commerce,Wardha",M. B. A.,AI to AI,AI
149,37422,31.72,662710110,"Camp Education Society's Rasiklal M Dhariwal Institute of Management, Nigdi, Pune",M. B. A.,AI to AI,AI
150,37948,30.78,611210110,"Shivnagar Vidyaprasarak Mandal's Institute of Management, Baramati",M. B. A.,AI to AI,AI
151,37958,30.78,516010110,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",M. B. A.,AI to AI,AI
152,37985,30.78,410910110,"Datta Meghe Institute of Management Studies, Nagpur",M. B. A.,AI to AI,AI
153,38104,30.56,532410110,"Amrutvahini Institute of Management & Business Administration, Sangamner",M. B. A.,AI to AI,AI
154,38489,30.28,511316310,"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",M.B.A.(Information Technology),AI to AI,AI
155,38495,30.11,312110210,"Sahajeevan Shikshan Sanstha's Madanbhai Sura Institute of Business Management, Khed Dist. Ratnagiri",M. M. S.,AI to AI,AI
156,38744,29.44,312810210,"Mandar Education Society's Rajaram Shinde College of Master of Business Adminstration, Chiplun",M. M. S.,AI to AI,AI
157,39068,27.88,510310110,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",M. B. A.,AI to AI,AI
158,39952,27.26,511110110,"B. P. Hivale Education Society's Institute of Management Studies Career Development Research, Ahmednagar",M. B. A.,AI to AI,AI
160,39970,26.73,615210110,"Zeal Education Society's Zeal Institute of Business Administration, Computer Application and Research, Pune",M. B. A.,AI to AI,AI
161,40095,26.59,611410150F,"Maharshi Karve Sreeshikshan Sanstha's Smt. Hiraben Nanavati Instiute of Management & Research for Women, Pune",M. B. A.,AI to AI,AI
162,40180,25.88,696610110,"S.P.Mandali's Prin.N.G.Naralkar Institute Of Career Development And Research, Pune",M. B. A.,AI to AI,AI
163,40255,25.7,313610210,"Oriental Education Society Oriental Institute of Management, Navi Mumbai",M. M. S.,AI to AI,AI
164,40269,25.31,615510110,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",M. B. A.,AI to AI,AI
165,40313,25.28,660810110,"Institute of Technical Education, Research and Management, Akurdi",M. B. A.,AI to AI,AI
166,40755,24.81,532010110,"Abhinav Education Society's Institute of Management & Business Administration, Akole",M. B. A.,AI to AI,AI
