sr_no,merit_no,score,choice_code,institute_name,course_name,type,seat_type
229,48026,7.69,510110110,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",M. B. A.,AI to AI,AI
230,48148,7.51,612010110,"Shri. Khanderai Pratishthans Dnyansagar Institute of Management and Research, Balewadi, Pune",M. B. A.,AI to AI,AI
231,48149,7.5,620610110,"Pune District Education Association's College of Engineering, Pune",M. B. A.,AI to AI,AI
232,48154,7.35,613410110,"Siddhant Institute Of Business Management, Pune",M. B. A.,MI to AI,MI-AI
233,48356,6.82,315710210,"Shree Ghatkopar Sarvajanik Jivdaya Khatur's Aruna Manharlal Shah Institute of Management & Research, Ghatkopar",M. M. S.,AI to AI,AI
234,48357,6.82,621610110,"Krishna Foundation Malkapur-Karad's Jaywant Institute of Management, Wathar",M. B. A.,AI to AI,AI
235,48477,6.7,612110110,"Rajgad Dnyanpeeths Rajgad Institute of Management Development Research, Dhankawadi, Pune",M. B. A.,AI to AI,AI
236,48482,6.54,676810110,"P.K. Technical Campus, Pune.",M. B. A.,AI to AI,AI
237,48645,6.19,699010110,Jaihind Institute of Management and Research,M. B. A.,AI to AI,AI
238,48715,6.16,616410110,"Psd Shastri Educational Foundation's Asma Institute Of Management, Pune",M. B. A.,AI to AI,AI
240,48728,5.7,411810110,"Bapurao Deshmukh College of Engineering, Sevagram",M. B. A.,AI to AI,AI
241,48836,5.6,617410110,"KJ's Educational Institute Trinity Institute of Management & Research, Haveli, Pune",M. B. A.,AI to AI,AI
242,48978,5.46,515210110,"G H Raisoni Institute of Engineering and Business Management, Jalgaon",M. B. A.,AI to AI,AI
243,48979,5.46,614410110,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",M. B. A.,AI to AI,AI
244,49071,5.04,673110110,"Anekant Institute of Management Studies, Baramati",M. B. A.,AI to AI,AI
245,49131,4.72,550910110,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",M. B. A.,AI to AI,AI
246,49319,4.49,252010110,"D. B. Institute Of Management & Research, Mouza-Mahalngra,Ta.Chakur,Dist.Latur",M. B. A.,AI to AI,AI
247,49394,4.45,413510110,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",M. B. A.,AI to AI,AI
248,49396,4.37,613510110,"Alard Institute of Management Sciences, Pune",M. B. A.,MI to AI,MI-AI
249,49468,3.96,675710110,"Yashoda Technical Campus, Wadhe, Satara.",M. B. A.,AI to AI,AI
250,49473,3.96,414210110,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",M. B. A.,AI to AI,AI
251,49550,3.7,510410110,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",M. B. A.,AI to AI,AI
252,49601,3.62,676910110,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",M. B. A.,AI to AI,AI
253,49606,3.55,316010210,"Mahatma Edu.Soc.'s Pillai's HOC Institute of Management Studies & Research, Khalapur Dist. Raigadh",M. M. S.,MI to AI,MI-AI
254,49743,3.42,618810110,"Eagle Education Society's Unique Institute of Management, Pune",M. B. A.,MI to AI,MI-AI
255,49788,3.25,256916510,"Suraj Institute of Management, Beed",M.B.A.(Marketing Management),AI to AI,AI
256,49795,3.13,510610110,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",M. B. A.,AI to AI,AI
257,49807,2.94,413710110,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",M. B. A.,AI to AI,AI
258,49872,2.89,521910110,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",M. B. A.,AI to AI,AI
260,49911,2.82,213810110,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",M. B. A.,AI to AI,AI
261,50138,2.24,681210110,"Progressive Education Society's Modern Institute of Business Studies, Nigdi, Pune",M. B. A.,AI to AI,AI
262,50203,1.98,544710110,"Karmaveer Bhausaheb Hiray Institute of Management & Research, Malegaon",M. B. A.,AI to AI,AI
263,50224,1.86,213610110,"Aditya Engineering College , Beed",M. B. A.,AI to AI,AI
264,50228,1.83,665010110,"Vishwakarma Dadasaheb Chavan Institute of Management and Research, Malwadi",M. B. A.,AI to AI,AI
265,50230,1.83,511610110,"Navjeevan Institute of Management, Nashik",M. B. A.,AI to AI,AI
266,50331,1.6,413810110,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",M. B. A.,AI to AI,AI
267,50339,1.6,315310210,"Humera Khan Institute Of Mangement Studies & Reserch, Mumbai",M. M. S.,MI to AI,MI-AI
268,50348,1.51,636610150F,"Saibalaji Education Society, International Institute of Management & Human Resource Development(W), Nere Marunje, Pune",M. B. A.,AI to AI,AI
269,50351,1.46,315510210,"SYCSPM'S Sinhgad Institute of Business Management, Chandivali, Powai, Mumbai",M. M. S.,AI to AI,AI
270,50354,1.43,211310110,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",M. B. A.,AI to AI,AI
271,50384,1.41,620810110,"Deccan Education Society's Chintamanrao Institute of Management Development & Research, Sangli",M. B. A.,AI to AI,AI
272,50412,1.38,412210110,"G. H. Raisoni Institute of Management & Research, Khaparkheda, Nagpur",M. B. A.,AI to AI,AI
273,50433,1.32,466210110,"Dr. Arun Motghare Mahavidyalaya MBA, Kosara- Konda, Bhandara",M. B. A.,AI to AI,AI
274,50434,1.29,413010110,"Shree Sai Shikshan Sanstha, NIT Graduate School of Management, Nagpur",M. B. A.,AI to AI,AI
275,50444,1.29,663510110,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",M. B. A.,AI to AI,AI
276,50468,1.13,678010110,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",M. B. A.,AI to AI,AI
277,50484,1.1,414710110,"K.D.K. College of Engineering, Nagpur",M. B. A.,AI to AI,AI
278,50527,1.03,511910110,"C.H.M.E. Society's Dr. Moonje Institute for Management & Computer Studies, Nashik",M. B. A.,AI to AI,AI
280,50580,0.81,511210110,"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",M. B. A.,AI to AI,AI
281,50603,0.69,697210110,"Shri. Someshwar Shikshan Prasarak Mandals Sharadchandra Pawar Institute of Management & Research, Someshwarnagar,",M. B. A.,AI to AI,AI
282,50614,0.66,430710110,"Renaissance Institute Of Management Studies, Datala New Chandrapur",M. B. A.,AI to AI,AI
283,50629,0.63,619510110,"Zeal Education Society's, Zeal Institute of Management and Computer Application, Nahre, Pune",M. B. A.,AI to AI,AI
284,50685,0.4,613810110,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",M. B. A.,AI to AI,AI
285,50727,0.23,461310110,"Suryodaya College of Engineering & Technology, Nagpur",M. B. A.,AI to AI,AI
286,50742,0.18,532510110,"Global Institute of Management, Velhale Tal. Sangamner Dist. Ahmednagar",M. B. A.,AI to AI,AI
287,50755,0.13,621310110,"Chh. Shahu Institute Of Business Edu And Res Vasantraodada Patil Institute Of Management Studies & Research, Sangli",M. B. A.,AI to AI,AI
288,50762,0.11,210410110,"Aditya College of MBA, Beed",M. B. A.,AI to AI,AI
